#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.824885E+07   0.824885E+07   0.109962E+08   0.109961E+08   0.000000E+00   0.824885E+07   0.824885E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.169273E-01
   0.109527E-04   0.824885E+07   0.824885E+07   0.109961E+08   0.109960E+08   0.000000E+00   0.824885E+07   0.824885E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.172692E-01
   0.111740E-04   0.824884E+07   0.824884E+07   0.109960E+08   0.109960E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.176181E-01
   0.113997E-04   0.824884E+07   0.824884E+07   0.109959E+08   0.109958E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.179740E-01
   0.116300E-04   0.824884E+07   0.824884E+07   0.109957E+08   0.109957E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.183370E-01
   0.118650E-04   0.824884E+07   0.824884E+07   0.109956E+08   0.109956E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.187075E-01
   0.121046E-04   0.824884E+07   0.824884E+07   0.109955E+08   0.109955E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.190854E-01
   0.123492E-04   0.824884E+07   0.824884E+07   0.109954E+08   0.109954E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.194709E-01
   0.125986E-04   0.824884E+07   0.824884E+07   0.109953E+08   0.109953E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825849E+07  -0.591849E+00   0.790877E+07   0.790877E+07   0.198642E-01
   0.128531E-04   0.824884E+07   0.824884E+07   0.109951E+08   0.109951E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790877E+07   0.790877E+07   0.202655E-01
   0.131128E-04   0.824884E+07   0.824884E+07   0.109950E+08   0.109950E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790877E+07   0.790877E+07   0.206749E-01
   0.133777E-04   0.824884E+07   0.824884E+07   0.109949E+08   0.109949E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790877E+07   0.790877E+07   0.210925E-01
   0.136479E-04   0.824884E+07   0.824884E+07   0.109947E+08   0.109947E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790877E+07   0.790877E+07   0.215186E-01
   0.139237E-04   0.824884E+07   0.824884E+07   0.109946E+08   0.109946E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790877E+07   0.790877E+07   0.219533E-01
   0.142049E-04   0.824884E+07   0.824884E+07   0.109944E+08   0.109944E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790877E+07   0.790877E+07   0.223968E-01
   0.144919E-04   0.824884E+07   0.824884E+07   0.109942E+08   0.109942E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790877E+07   0.790877E+07   0.228492E-01
   0.147846E-04   0.824884E+07   0.824884E+07   0.109941E+08   0.109941E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.233107E-01
   0.150833E-04   0.824884E+07   0.824884E+07   0.109939E+08   0.109939E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.237816E-01
   0.153880E-04   0.824884E+07   0.824884E+07   0.109937E+08   0.109937E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.242620E-01
   0.156989E-04   0.824884E+07   0.824884E+07   0.109935E+08   0.109935E+08   0.000000E+00   0.824884E+07   0.824884E+07   0.825848E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.247521E-01
   0.160160E-04   0.824883E+07   0.824883E+07   0.109933E+08   0.109933E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825848E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.252521E-01
   0.163396E-04   0.824883E+07   0.824883E+07   0.109931E+08   0.109931E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.257622E-01
   0.166696E-04   0.824883E+07   0.824883E+07   0.109929E+08   0.109929E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.262826E-01
   0.170064E-04   0.824883E+07   0.824883E+07   0.109926E+08   0.109926E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591848E+00   0.790876E+07   0.790876E+07   0.268135E-01
   0.173499E-04   0.824883E+07   0.824883E+07   0.109924E+08   0.109924E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591847E+00   0.790876E+07   0.790876E+07   0.273552E-01
   0.177004E-04   0.824883E+07   0.824883E+07   0.109922E+08   0.109921E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591847E+00   0.790876E+07   0.790876E+07   0.279077E-01
   0.180580E-04   0.824883E+07   0.824883E+07   0.109919E+08   0.109919E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591847E+00   0.790876E+07   0.790876E+07   0.284715E-01
   0.184228E-04   0.824883E+07   0.824883E+07   0.109916E+08   0.109916E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591847E+00   0.790876E+07   0.790876E+07   0.290466E-01
   0.187950E-04   0.824883E+07   0.824883E+07   0.109914E+08   0.109913E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825847E+07  -0.591847E+00   0.790875E+07   0.790875E+07   0.296333E-01
   0.191746E-04   0.824883E+07   0.824883E+07   0.109911E+08   0.109910E+08   0.000000E+00   0.824883E+07   0.824883E+07   0.825846E+07  -0.591847E+00   0.790875E+07   0.790875E+07   0.302319E-01
   0.195620E-04   0.824882E+07   0.824882E+07   0.109908E+08   0.109907E+08   0.000000E+00   0.824882E+07   0.824882E+07   0.825846E+07  -0.591847E+00   0.790875E+07   0.790875E+07   0.308426E-01
   0.199572E-04   0.824882E+07   0.824882E+07   0.109905E+08   0.109904E+08   0.000000E+00   0.824882E+07   0.824882E+07   0.825846E+07  -0.591847E+00   0.790875E+07   0.790875E+07   0.314656E-01
   0.203603E-04   0.824882E+07   0.824882E+07   0.109901E+08   0.109901E+08   0.000000E+00   0.824882E+07   0.824882E+07   0.825846E+07  -0.591847E+00   0.790875E+07   0.790875E+07   0.321012E-01
   0.207716E-04   0.824882E+07   0.824882E+07   0.109898E+08   0.109898E+08   0.000000E+00   0.824882E+07   0.824882E+07   0.825846E+07  -0.591846E+00   0.790875E+07   0.790875E+07   0.327496E-01
   0.211913E-04   0.824882E+07   0.824882E+07   0.109894E+08   0.109894E+08   0.000000E+00   0.824882E+07   0.824882E+07   0.825846E+07  -0.591846E+00   0.790875E+07   0.790875E+07   0.334111E-01
   0.216194E-04   0.824882E+07   0.824882E+07   0.109891E+08   0.109890E+08   0.000000E+00   0.824882E+07   0.824882E+07   0.825846E+07  -0.591846E+00   0.790875E+07   0.790875E+07   0.340860E-01
   0.220561E-04   0.824882E+07   0.824882E+07   0.109887E+08   0.109886E+08   0.000000E+00   0.824882E+07   0.824882E+07   0.825845E+07  -0.591846E+00   0.790874E+07   0.790874E+07   0.347745E-01
   0.225017E-04   0.824881E+07   0.824881E+07   0.109883E+08   0.109882E+08   0.000000E+00   0.824881E+07   0.824881E+07   0.825845E+07  -0.591846E+00   0.790874E+07   0.790874E+07   0.354769E-01
   0.229562E-04   0.824881E+07   0.824881E+07   0.109879E+08   0.109878E+08   0.000000E+00   0.824881E+07   0.824881E+07   0.825845E+07  -0.591846E+00   0.790874E+07   0.790874E+07   0.361935E-01
   0.234200E-04   0.824881E+07   0.824881E+07   0.109874E+08   0.109874E+08   0.000000E+00   0.824881E+07   0.824881E+07   0.825845E+07  -0.591846E+00   0.790874E+07   0.790874E+07   0.369246E-01
   0.238931E-04   0.824881E+07   0.824881E+07   0.109870E+08   0.109869E+08   0.000000E+00   0.824881E+07   0.824881E+07   0.825844E+07  -0.591845E+00   0.790874E+07   0.790874E+07   0.376705E-01
   0.243758E-04   0.824881E+07   0.824881E+07   0.109865E+08   0.109865E+08   0.000000E+00   0.824881E+07   0.824881E+07   0.825844E+07  -0.591845E+00   0.790874E+07   0.790874E+07   0.384314E-01
   0.248682E-04   0.824880E+07   0.824880E+07   0.109860E+08   0.109860E+08   0.000000E+00   0.824880E+07   0.824880E+07   0.825844E+07  -0.591845E+00   0.790873E+07   0.790873E+07   0.392076E-01
   0.253705E-04   0.824880E+07   0.824880E+07   0.109855E+08   0.109855E+08   0.000000E+00   0.824880E+07   0.824880E+07   0.825844E+07  -0.591845E+00   0.790873E+07   0.790873E+07   0.399996E-01
   0.258831E-04   0.824880E+07   0.824880E+07   0.109850E+08   0.109849E+08   0.000000E+00   0.824880E+07   0.824880E+07   0.825843E+07  -0.591845E+00   0.790873E+07   0.790873E+07   0.408075E-01
   0.264059E-04   0.824880E+07   0.824880E+07   0.109844E+08   0.109844E+08   0.000000E+00   0.824880E+07   0.824880E+07   0.825843E+07  -0.591844E+00   0.790873E+07   0.790873E+07   0.416318E-01
   0.269394E-04   0.824880E+07   0.824880E+07   0.109839E+08   0.109838E+08   0.000000E+00   0.824880E+07   0.824880E+07   0.825843E+07  -0.591844E+00   0.790873E+07   0.790873E+07   0.424726E-01
   0.274836E-04   0.824879E+07   0.824879E+07   0.109833E+08   0.109832E+08   0.000000E+00   0.824879E+07   0.824879E+07   0.825843E+07  -0.591844E+00   0.790872E+07   0.790872E+07   0.433305E-01
   0.280388E-04   0.824879E+07   0.824879E+07   0.109826E+08   0.109826E+08   0.000000E+00   0.824879E+07   0.824879E+07   0.825842E+07  -0.591844E+00   0.790872E+07   0.790872E+07   0.442057E-01
   0.286052E-04   0.824879E+07   0.824879E+07   0.109820E+08   0.109819E+08   0.000000E+00   0.824879E+07   0.824879E+07   0.825842E+07  -0.591844E+00   0.790872E+07   0.790872E+07   0.450985E-01
   0.291831E-04   0.824879E+07   0.824879E+07   0.109813E+08   0.109813E+08   0.000000E+00   0.824879E+07   0.824879E+07   0.825842E+07  -0.591843E+00   0.790872E+07   0.790872E+07   0.460094E-01
