#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.488795E+06   0.488795E+06   0.651720E+06   0.651719E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.211728E+00
   0.109527E-04   0.488795E+06   0.488795E+06   0.651719E+06   0.651719E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.216005E+00
   0.111740E-04   0.488795E+06   0.488795E+06   0.651719E+06   0.651718E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.220368E+00
   0.113997E-04   0.488795E+06   0.488795E+06   0.651719E+06   0.651718E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.224820E+00
   0.116300E-04   0.488795E+06   0.488795E+06   0.651718E+06   0.651718E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.229362E+00
   0.118650E-04   0.488795E+06   0.488795E+06   0.651718E+06   0.651717E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.233995E+00
   0.121046E-04   0.488795E+06   0.488795E+06   0.651718E+06   0.651717E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.238722E+00
   0.123492E-04   0.488795E+06   0.488795E+06   0.651717E+06   0.651717E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.243545E+00
   0.125986E-04   0.488795E+06   0.488795E+06   0.651717E+06   0.651716E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487117E+06   0.487117E+06   0.248464E+00
   0.128531E-04   0.488795E+06   0.488795E+06   0.651716E+06   0.651716E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.253484E+00
   0.131128E-04   0.488795E+06   0.488795E+06   0.651716E+06   0.651715E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.258605E+00
   0.133777E-04   0.488795E+06   0.488794E+06   0.651716E+06   0.651715E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.263829E+00
   0.136479E-04   0.488795E+06   0.488794E+06   0.651715E+06   0.651715E+06   0.000000E+00   0.488795E+06   0.488795E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.269158E+00
   0.139237E-04   0.488794E+06   0.488794E+06   0.651715E+06   0.651714E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.274596E+00
   0.142049E-04   0.488794E+06   0.488794E+06   0.651714E+06   0.651714E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.280143E+00
   0.144919E-04   0.488794E+06   0.488794E+06   0.651714E+06   0.651713E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.285802E+00
   0.147846E-04   0.488794E+06   0.488794E+06   0.651713E+06   0.651712E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602671E+00   0.487116E+06   0.487116E+06   0.291576E+00
   0.150833E-04   0.488794E+06   0.488794E+06   0.651713E+06   0.651712E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602670E+00   0.487116E+06   0.487116E+06   0.297466E+00
   0.153880E-04   0.488794E+06   0.488794E+06   0.651712E+06   0.651711E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602670E+00   0.487116E+06   0.487116E+06   0.303475E+00
   0.156989E-04   0.488794E+06   0.488794E+06   0.651712E+06   0.651711E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602670E+00   0.487116E+06   0.487116E+06   0.309606E+00
   0.160160E-04   0.488794E+06   0.488794E+06   0.651711E+06   0.651710E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602670E+00   0.487116E+06   0.487116E+06   0.315860E+00
   0.163396E-04   0.488794E+06   0.488794E+06   0.651710E+06   0.651709E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498321E+06  -0.602670E+00   0.487116E+06   0.487116E+06   0.322241E+00
   0.166696E-04   0.488794E+06   0.488794E+06   0.651710E+06   0.651709E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498320E+06  -0.602670E+00   0.487116E+06   0.487116E+06   0.328751E+00
   0.170064E-04   0.488794E+06   0.488794E+06   0.651709E+06   0.651708E+06   0.000000E+00   0.488794E+06   0.488794E+06   0.498320E+06  -0.602670E+00   0.487116E+06   0.487116E+06   0.335392E+00
