#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.249858E+07   0.249858E+07   0.333124E+07   0.333123E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.506636E-01
   0.109527E-04   0.249858E+07   0.249858E+07   0.333123E+07   0.333122E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.516871E-01
   0.111740E-04   0.249858E+07   0.249858E+07   0.333122E+07   0.333122E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.527312E-01
   0.113997E-04   0.249858E+07   0.249858E+07   0.333121E+07   0.333121E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.537965E-01
   0.116300E-04   0.249858E+07   0.249858E+07   0.333120E+07   0.333120E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.548832E-01
   0.118650E-04   0.249858E+07   0.249858E+07   0.333119E+07   0.333119E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.559919E-01
   0.121046E-04   0.249858E+07   0.249858E+07   0.333118E+07   0.333118E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.571230E-01
   0.123492E-04   0.249858E+07   0.249858E+07   0.333117E+07   0.333117E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.582770E-01
   0.125986E-04   0.249858E+07   0.249858E+07   0.333116E+07   0.333115E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.594543E-01
   0.128531E-04   0.249858E+07   0.249858E+07   0.333115E+07   0.333114E+07   0.000000E+00   0.249858E+07   0.249858E+07   0.250832E+07  -0.600412E+00   0.249318E+07   0.249318E+07   0.606553E-01
