#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.120090E+08   0.120090E+08   0.160070E+08   0.160070E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.116277E-01
   0.109527E-04   0.120090E+08   0.120090E+08   0.160068E+08   0.160068E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.118626E-01
   0.111740E-04   0.120090E+08   0.120090E+08   0.160066E+08   0.160066E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.121023E-01
   0.113997E-04   0.120090E+08   0.120090E+08   0.160064E+08   0.160064E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.123467E-01
   0.116300E-04   0.120090E+08   0.120090E+08   0.160062E+08   0.160062E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.125961E-01
   0.118650E-04   0.120090E+08   0.120090E+08   0.160059E+08   0.160059E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.128506E-01
   0.121046E-04   0.120090E+08   0.120090E+08   0.160057E+08   0.160057E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.131102E-01
   0.123492E-04   0.120090E+08   0.120090E+08   0.160054E+08   0.160054E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.133750E-01
   0.125986E-04   0.120090E+08   0.120090E+08   0.160052E+08   0.160051E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.136452E-01
   0.128531E-04   0.120090E+08   0.120090E+08   0.160049E+08   0.160049E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.139208E-01
   0.131128E-04   0.120090E+08   0.120090E+08   0.160046E+08   0.160046E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574060E+00   0.105414E+08   0.105414E+08   0.142020E-01
   0.133777E-04   0.120090E+08   0.120090E+08   0.160043E+08   0.160043E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.144889E-01
   0.136479E-04   0.120090E+08   0.120090E+08   0.160040E+08   0.160039E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.147816E-01
   0.139237E-04   0.120090E+08   0.120090E+08   0.160036E+08   0.160036E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.150802E-01
   0.142049E-04   0.120090E+08   0.120090E+08   0.160033E+08   0.160033E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.153848E-01
   0.144919E-04   0.120090E+08   0.120090E+08   0.160029E+08   0.160029E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.156956E-01
   0.147846E-04   0.120090E+08   0.120090E+08   0.160026E+08   0.160025E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.160126E-01
   0.150833E-04   0.120090E+08   0.120090E+08   0.160022E+08   0.160021E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.163361E-01
   0.153880E-04   0.120090E+08   0.120090E+08   0.160018E+08   0.160017E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.166661E-01
   0.156989E-04   0.120090E+08   0.120090E+08   0.160013E+08   0.160013E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.170027E-01
   0.160160E-04   0.120090E+08   0.120090E+08   0.160009E+08   0.160009E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.173462E-01
   0.163396E-04   0.120090E+08   0.120090E+08   0.160005E+08   0.160004E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.176966E-01
   0.166696E-04   0.120090E+08   0.120090E+08   0.160000E+08   0.160000E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.180540E-01
   0.170064E-04   0.120090E+08   0.120090E+08   0.159995E+08   0.159995E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.184187E-01
   0.173499E-04   0.120090E+08   0.120090E+08   0.159990E+08   0.159989E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574059E+00   0.105414E+08   0.105414E+08   0.187908E-01
   0.177004E-04   0.120090E+08   0.120090E+08   0.159984E+08   0.159984E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120184E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.191703E-01
   0.180580E-04   0.120090E+08   0.120090E+08   0.159979E+08   0.159979E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.195576E-01
   0.184228E-04   0.120090E+08   0.120090E+08   0.159973E+08   0.159973E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.199526E-01
   0.187950E-04   0.120090E+08   0.120090E+08   0.159967E+08   0.159967E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.203556E-01
   0.191746E-04   0.120090E+08   0.120090E+08   0.159961E+08   0.159960E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.207668E-01
   0.195620E-04   0.120090E+08   0.120090E+08   0.159954E+08   0.159954E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.211863E-01
   0.199572E-04   0.120090E+08   0.120090E+08   0.159948E+08   0.159947E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.216142E-01
   0.203603E-04   0.120090E+08   0.120090E+08   0.159941E+08   0.159940E+08   0.000000E+00   0.120090E+08   0.120090E+08   0.120183E+08  -0.574058E+00   0.105414E+08   0.105414E+08   0.220508E-01
