#           k/h    P           
    0.10736E-04    0.30506E-01
    0.10953E-04    0.31099E-01
    0.11174E-04    0.31703E-01
    0.11400E-04    0.32319E-01
    0.11630E-04    0.32947E-01
    0.11865E-04    0.33588E-01
    0.12105E-04    0.34240E-01
    0.12349E-04    0.34906E-01
    0.12599E-04    0.35584E-01
    0.12853E-04    0.36276E-01
    0.13113E-04    0.36981E-01
    0.13378E-04    0.37699E-01
    0.13648E-04    0.38432E-01
    0.13924E-04    0.39179E-01
    0.14205E-04    0.39940E-01
    0.14492E-04    0.40717E-01
    0.14785E-04    0.41508E-01
    0.15083E-04    0.42315E-01
    0.15388E-04    0.43137E-01
    0.15699E-04    0.43975E-01
    0.16016E-04    0.44830E-01
    0.16340E-04    0.45701E-01
    0.16670E-04    0.46589E-01
    0.17006E-04    0.47495E-01
    0.17350E-04    0.48418E-01
    0.17700E-04    0.49359E-01
    0.18058E-04    0.50318E-01
    0.18423E-04    0.51296E-01
    0.18795E-04    0.52293E-01
    0.19175E-04    0.53309E-01
    0.19562E-04    0.54345E-01
    0.19957E-04    0.55401E-01
    0.20360E-04    0.56478E-01
    0.20772E-04    0.57576E-01
    0.21191E-04    0.58695E-01
    0.21619E-04    0.59835E-01
    0.22056E-04    0.60998E-01
    0.22502E-04    0.62184E-01
    0.22956E-04    0.63392E-01
    0.23420E-04    0.64624E-01
    0.23893E-04    0.65880E-01
    0.24376E-04    0.67160E-01
    0.24868E-04    0.68465E-01
    0.25371E-04    0.69796E-01
    0.25883E-04    0.71152E-01
    0.26406E-04    0.72535E-01
    0.26939E-04    0.73945E-01
    0.27484E-04    0.75382E-01
    0.28039E-04    0.76847E-01
    0.28605E-04    0.78340E-01
    0.29183E-04    0.79863E-01
    0.29773E-04    0.81415E-01
    0.30374E-04    0.82997E-01
    0.30988E-04    0.84610E-01
    0.31614E-04    0.86255E-01
    0.32252E-04    0.87931E-01
    0.32904E-04    0.89640E-01
    0.33569E-04    0.91382E-01
    0.34247E-04    0.93158E-01
    0.34938E-04    0.94968E-01
    0.35644E-04    0.96814E-01
    0.36364E-04    0.98695E-01
    0.37099E-04    0.10061E+00
    0.37848E-04    0.10257E+00
    0.38613E-04    0.10456E+00
    0.39393E-04    0.10659E+00
    0.40189E-04    0.10867E+00
    0.41001E-04    0.11078E+00
