#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.191746E-04   0.152296E+08   0.152296E+08   0.202800E+08   0.202799E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545855E+00   0.116187E+08   0.116187E+08   0.158509E-01
   0.195620E-04   0.152296E+08   0.152296E+08   0.202789E+08   0.202788E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545855E+00   0.116187E+08   0.116187E+08   0.161710E-01
   0.199572E-04   0.152296E+08   0.152296E+08   0.202778E+08   0.202777E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545855E+00   0.116187E+08   0.116187E+08   0.164976E-01
   0.203603E-04   0.152296E+08   0.152296E+08   0.202766E+08   0.202766E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545855E+00   0.116187E+08   0.116187E+08   0.168309E-01
   0.207716E-04   0.152296E+08   0.152296E+08   0.202754E+08   0.202754E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545855E+00   0.116187E+08   0.116187E+08   0.171708E-01
   0.211913E-04   0.152296E+08   0.152296E+08   0.202742E+08   0.202741E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545854E+00   0.116187E+08   0.116187E+08   0.175176E-01
   0.216194E-04   0.152296E+08   0.152296E+08   0.202729E+08   0.202728E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545854E+00   0.116187E+08   0.116187E+08   0.178715E-01
   0.220561E-04   0.152296E+08   0.152296E+08   0.202715E+08   0.202714E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545854E+00   0.116187E+08   0.116187E+08   0.182324E-01
   0.225017E-04   0.152296E+08   0.152296E+08   0.202701E+08   0.202700E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545854E+00   0.116187E+08   0.116187E+08   0.186007E-01
   0.229562E-04   0.152296E+08   0.152296E+08   0.202686E+08   0.202685E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545854E+00   0.116187E+08   0.116187E+08   0.189764E-01
   0.234200E-04   0.152296E+08   0.152296E+08   0.202671E+08   0.202670E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152385E+08  -0.545854E+00   0.116187E+08   0.116187E+08   0.193596E-01
   0.238931E-04   0.152296E+08   0.152296E+08   0.202655E+08   0.202654E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152384E+08  -0.545853E+00   0.116186E+08   0.116186E+08   0.197506E-01
   0.243758E-04   0.152296E+08   0.152296E+08   0.202638E+08   0.202637E+08   0.000000E+00   0.152296E+08   0.152296E+08   0.152384E+08  -0.545853E+00   0.116186E+08   0.116186E+08   0.201495E-01
