#           k/h    P           
    0.10736E-04    0.12546E+00
    0.10953E-04    0.12790E+00
    0.11174E-04    0.13039E+00
    0.11400E-04    0.13292E+00
    0.11630E-04    0.13551E+00
    0.11865E-04    0.13814E+00
    0.12105E-04    0.14082E+00
    0.12349E-04    0.14356E+00
    0.12599E-04    0.14635E+00
    0.12853E-04    0.14920E+00
    0.13113E-04    0.15209E+00
    0.13378E-04    0.15505E+00
    0.13648E-04    0.15806E+00
    0.13924E-04    0.16114E+00
    0.14205E-04    0.16427E+00
    0.14492E-04    0.16746E+00
    0.14785E-04    0.17071E+00
    0.15083E-04    0.17403E+00
    0.15388E-04    0.17741E+00
    0.15699E-04    0.18086E+00
    0.16016E-04    0.18438E+00
    0.16340E-04    0.18796E+00
    0.16670E-04    0.19161E+00
    0.17006E-04    0.19534E+00
    0.17350E-04    0.19913E+00
    0.17700E-04    0.20300E+00
    0.18058E-04    0.20695E+00
    0.18423E-04    0.21097E+00
    0.18795E-04    0.21507E+00
    0.19175E-04    0.21925E+00
    0.19562E-04    0.22351E+00
    0.19957E-04    0.22785E+00
    0.20360E-04    0.23228E+00
    0.20772E-04    0.23680E+00
    0.21191E-04    0.24140E+00
    0.21619E-04    0.24609E+00
    0.22056E-04    0.25087E+00
    0.22502E-04    0.25575E+00
    0.22956E-04    0.26072E+00
    0.23420E-04    0.26579E+00
    0.23893E-04    0.27095E+00
    0.24376E-04    0.27622E+00
    0.24868E-04    0.28158E+00
    0.25371E-04    0.28706E+00
    0.25883E-04    0.29264E+00
    0.26406E-04    0.29832E+00
    0.26939E-04    0.30412E+00
    0.27484E-04    0.31003E+00
    0.28039E-04    0.31606E+00
    0.28605E-04    0.32220E+00
    0.29183E-04    0.32846E+00
    0.29773E-04    0.33484E+00
    0.30374E-04    0.34135E+00
    0.30988E-04    0.34798E+00
    0.31614E-04    0.35475E+00
    0.32252E-04    0.36164E+00
    0.32904E-04    0.36867E+00
    0.33569E-04    0.37583E+00
    0.34247E-04    0.38314E+00
    0.34938E-04    0.39058E+00
    0.35644E-04    0.39818E+00
    0.36364E-04    0.40591E+00
    0.37099E-04    0.41380E+00
    0.37848E-04    0.42184E+00
    0.38613E-04    0.43004E+00
    0.39393E-04    0.43840E+00
    0.40189E-04    0.44692E+00
    0.41001E-04    0.45560E+00
    0.41829E-04    0.46446E+00
    0.42674E-04    0.47348E+00
    0.43536E-04    0.48269E+00
    0.44416E-04    0.49207E+00
    0.45313E-04    0.50163E+00
    0.46228E-04    0.51138E+00
    0.47162E-04    0.52131E+00
    0.48115E-04    0.53145E+00
    0.49087E-04    0.54177E+00
    0.50078E-04    0.55230E+00
    0.51090E-04    0.56304E+00
    0.52122E-04    0.57398E+00
    0.53175E-04    0.58513E+00
    0.54249E-04    0.59650E+00
    0.55345E-04    0.60809E+00
    0.56463E-04    0.61991E+00
    0.57604E-04    0.63196E+00
    0.58767E-04    0.64424E+00
    0.59955E-04    0.65676E+00
    0.61166E-04    0.66952E+00
    0.62401E-04    0.68253E+00
    0.63662E-04    0.69580E+00
    0.64948E-04    0.70932E+00
    0.66260E-04    0.72310E+00
    0.67599E-04    0.73715E+00
    0.68964E-04    0.75148E+00
    0.70357E-04    0.76608E+00
    0.71779E-04    0.78097E+00
    0.73229E-04    0.79614E+00
    0.74708E-04    0.81161E+00
    0.76217E-04    0.82739E+00
    0.77757E-04    0.84346E+00
    0.79328E-04    0.85985E+00
    0.80930E-04    0.87656E+00
    0.82565E-04    0.89359E+00
    0.84233E-04    0.91096E+00
    0.85935E-04    0.92866E+00
    0.87671E-04    0.94671E+00
    0.89442E-04    0.96510E+00
    0.91249E-04    0.98385E+00
    0.93092E-04    0.10030E+01
    0.94973E-04    0.10225E+01
    0.96891E-04    0.10423E+01
    0.98849E-04    0.10626E+01
    0.10085E-03    0.10832E+01
    0.10288E-03    0.11043E+01
    0.10496E-03    0.11257E+01
    0.10708E-03    0.11476E+01
    0.10924E-03    0.11699E+01
    0.11145E-03    0.11926E+01
    0.11370E-03    0.12158E+01
    0.11600E-03    0.12394E+01
    0.11834E-03    0.12635E+01
    0.12073E-03    0.12881E+01
    0.12317E-03    0.13131E+01
    0.12566E-03    0.13386E+01
    0.12820E-03    0.13646E+01
    0.13079E-03    0.13911E+01
    0.13343E-03    0.14181E+01
    0.13613E-03    0.14457E+01
    0.13888E-03    0.14738E+01
    0.14168E-03    0.15024E+01
    0.14454E-03    0.15316E+01
    0.14746E-03    0.15613E+01
    0.15044E-03    0.15917E+01
    0.15348E-03    0.16226E+01
    0.15658E-03    0.16541E+01
    0.15975E-03    0.16862E+01
    0.16297E-03    0.17190E+01
    0.16627E-03    0.17524E+01
    0.16962E-03    0.17864E+01
    0.17305E-03    0.18211E+01
    0.17655E-03    0.18565E+01
    0.18011E-03    0.18925E+01
    0.18375E-03    0.19293E+01
    0.18746E-03    0.19668E+01
    0.19125E-03    0.20049E+01
    0.19511E-03    0.20439E+01
    0.19906E-03    0.20836E+01
    0.20308E-03    0.21240E+01
    0.20718E-03    0.21653E+01
    0.21137E-03    0.22073E+01
    0.21564E-03    0.22502E+01
    0.21999E-03    0.22939E+01
    0.22444E-03    0.23384E+01
    0.22897E-03    0.23838E+01
    0.23359E-03    0.24301E+01
    0.23831E-03    0.24772E+01
    0.24313E-03    0.25253E+01
    0.24804E-03    0.25743E+01
    0.25305E-03    0.26243E+01
    0.25816E-03    0.26752E+01
    0.26338E-03    0.27272E+01
    0.26870E-03    0.27801E+01
    0.27413E-03    0.28340E+01
