#           k/h    P           
    0.10736E-04    0.42859E-02
    0.10953E-04    0.43692E-02
    0.11174E-04    0.44541E-02
    0.11400E-04    0.45406E-02
    0.11630E-04    0.46289E-02
    0.11865E-04    0.47189E-02
    0.12105E-04    0.48106E-02
    0.12349E-04    0.49040E-02
    0.12599E-04    0.49994E-02
    0.12853E-04    0.50965E-02
    0.13113E-04    0.51956E-02
    0.13378E-04    0.52965E-02
    0.13648E-04    0.53995E-02
    0.13924E-04    0.55044E-02
    0.14205E-04    0.56114E-02
    0.14492E-04    0.57204E-02
    0.14785E-04    0.58316E-02
    0.15083E-04    0.59449E-02
    0.15388E-04    0.60605E-02
    0.15699E-04    0.61783E-02
    0.16016E-04    0.62983E-02
    0.16340E-04    0.64207E-02
    0.16670E-04    0.65455E-02
    0.17006E-04    0.66727E-02
    0.17350E-04    0.68024E-02
    0.17700E-04    0.69346E-02
    0.18058E-04    0.70694E-02
    0.18423E-04    0.72068E-02
    0.18795E-04    0.73468E-02
    0.19175E-04    0.74896E-02
    0.19562E-04    0.76352E-02
    0.19957E-04    0.77835E-02
    0.20360E-04    0.79348E-02
    0.20772E-04    0.80890E-02
    0.21191E-04    0.82462E-02
    0.21619E-04    0.84065E-02
    0.22056E-04    0.85699E-02
    0.22502E-04    0.87364E-02
    0.22956E-04    0.89062E-02
    0.23420E-04    0.90793E-02
    0.23893E-04    0.92557E-02
    0.24376E-04    0.94356E-02
    0.24868E-04    0.96190E-02
    0.25371E-04    0.98059E-02
    0.25883E-04    0.99965E-02
    0.26406E-04    0.10191E-01
    0.26939E-04    0.10389E-01
    0.27484E-04    0.10591E-01
    0.28039E-04    0.10797E-01
    0.28605E-04    0.11006E-01
    0.29183E-04    0.11220E-01
    0.29773E-04    0.11438E-01
    0.30374E-04    0.11661E-01
    0.30988E-04    0.11887E-01
    0.31614E-04    0.12118E-01
    0.32252E-04    0.12354E-01
    0.32904E-04    0.12594E-01
    0.33569E-04    0.12839E-01
    0.34247E-04    0.13088E-01
    0.34938E-04    0.13342E-01
    0.35644E-04    0.13602E-01
    0.36364E-04    0.13866E-01
    0.37099E-04    0.14136E-01
    0.37848E-04    0.14410E-01
    0.38613E-04    0.14690E-01
    0.39393E-04    0.14976E-01
    0.40189E-04    0.15267E-01
    0.41001E-04    0.15564E-01
    0.41829E-04    0.15866E-01
    0.42674E-04    0.16174E-01
    0.43536E-04    0.16489E-01
    0.44416E-04    0.16809E-01
    0.45313E-04    0.17136E-01
    0.46228E-04    0.17469E-01
    0.47162E-04    0.17808E-01
    0.48115E-04    0.18154E-01
    0.49087E-04    0.18507E-01
    0.50078E-04    0.18867E-01
    0.51090E-04    0.19234E-01
    0.52122E-04    0.19607E-01
    0.53175E-04    0.19988E-01
    0.54249E-04    0.20377E-01
    0.55345E-04    0.20773E-01
    0.56463E-04    0.21177E-01
    0.57604E-04    0.21588E-01
    0.58767E-04    0.22008E-01
    0.59955E-04    0.22435E-01
    0.61166E-04    0.22871E-01
    0.62401E-04    0.23316E-01
    0.63662E-04    0.23769E-01
    0.64948E-04    0.24231E-01
