#           k/h    P           
    0.10736E-04    0.18414E+02
    0.10953E-04    0.18772E+02
    0.11174E-04    0.19137E+02
    0.11400E-04    0.19508E+02
    0.11630E-04    0.19888E+02
    0.11865E-04    0.20274E+02
    0.12105E-04    0.20668E+02
    0.12349E-04    0.21070E+02
    0.12599E-04    0.21479E+02
    0.12853E-04    0.21897E+02
    0.13113E-04    0.22322E+02
    0.13378E-04    0.22756E+02
    0.13648E-04    0.23198E+02
    0.13924E-04    0.23649E+02
    0.14205E-04    0.24109E+02
    0.14492E-04    0.24577E+02
    0.14785E-04    0.25055E+02
    0.15083E-04    0.25542E+02
    0.15388E-04    0.26038E+02
    0.15699E-04    0.26544E+02
    0.16016E-04    0.27060E+02
    0.16340E-04    0.27586E+02
    0.16670E-04    0.28122E+02
    0.17006E-04    0.28669E+02
    0.17350E-04    0.29226E+02
    0.17700E-04    0.29794E+02
    0.18058E-04    0.30373E+02
    0.18423E-04    0.30963E+02
    0.18795E-04    0.31565E+02
    0.19175E-04    0.32178E+02
    0.19562E-04    0.32804E+02
    0.19957E-04    0.33441E+02
    0.20360E-04    0.34091E+02
    0.20772E-04    0.34754E+02
    0.21191E-04    0.35429E+02
    0.21619E-04    0.36117E+02
    0.22056E-04    0.36819E+02
    0.22502E-04    0.37535E+02
    0.22956E-04    0.38264E+02
    0.23420E-04    0.39008E+02
    0.23893E-04    0.39766E+02
    0.24376E-04    0.40539E+02
    0.24868E-04    0.41327E+02
    0.25371E-04    0.42130E+02
    0.25883E-04    0.42949E+02
    0.26406E-04    0.43783E+02
    0.26939E-04    0.44634E+02
    0.27484E-04    0.45502E+02
    0.28039E-04    0.46386E+02
    0.28605E-04    0.47287E+02
    0.29183E-04    0.48206E+02
    0.29773E-04    0.49143E+02
    0.30374E-04    0.50098E+02
    0.30988E-04    0.51072E+02
    0.31614E-04    0.52064E+02
    0.32252E-04    0.53076E+02
    0.32904E-04    0.54107E+02
    0.33569E-04    0.55159E+02
    0.34247E-04    0.56231E+02
