#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.623289E+07   0.623289E+07   0.830921E+07   0.830920E+07   0.000000E+00   0.623289E+07   0.623289E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.220424E-01
   0.109527E-04   0.623289E+07   0.623289E+07   0.830916E+07   0.830915E+07   0.000000E+00   0.623289E+07   0.623289E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.224876E-01
   0.111740E-04   0.623289E+07   0.623289E+07   0.830910E+07   0.830909E+07   0.000000E+00   0.623289E+07   0.623289E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.229419E-01
   0.113997E-04   0.623289E+07   0.623289E+07   0.830904E+07   0.830904E+07   0.000000E+00   0.623289E+07   0.623289E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.234054E-01
   0.116300E-04   0.623289E+07   0.623289E+07   0.830898E+07   0.830898E+07   0.000000E+00   0.623289E+07   0.623289E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.238782E-01
   0.118650E-04   0.623289E+07   0.623289E+07   0.830892E+07   0.830891E+07   0.000000E+00   0.623289E+07   0.623289E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.243605E-01
   0.121046E-04   0.623289E+07   0.623289E+07   0.830885E+07   0.830885E+07   0.000000E+00   0.623289E+07   0.623289E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.248526E-01
   0.123492E-04   0.623288E+07   0.623288E+07   0.830879E+07   0.830878E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.253547E-01
   0.125986E-04   0.623288E+07   0.623288E+07   0.830872E+07   0.830871E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.258669E-01
   0.128531E-04   0.623288E+07   0.623288E+07   0.830864E+07   0.830863E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.263894E-01
   0.131128E-04   0.623288E+07   0.623288E+07   0.830856E+07   0.830855E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.269225E-01
   0.133777E-04   0.623288E+07   0.623288E+07   0.830848E+07   0.830847E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.274663E-01
   0.136479E-04   0.623288E+07   0.623288E+07   0.830840E+07   0.830839E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.280212E-01
   0.139237E-04   0.623288E+07   0.623288E+07   0.830831E+07   0.830830E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596673E+00   0.611908E+07   0.611908E+07   0.285872E-01
   0.142049E-04   0.623288E+07   0.623288E+07   0.830822E+07   0.830821E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.291647E-01
   0.144919E-04   0.623288E+07   0.623288E+07   0.830813E+07   0.830812E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.297539E-01
   0.147846E-04   0.623288E+07   0.623288E+07   0.830803E+07   0.830802E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.303549E-01
   0.150833E-04   0.623288E+07   0.623288E+07   0.830793E+07   0.830792E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.309681E-01
   0.153880E-04   0.623288E+07   0.623288E+07   0.830782E+07   0.830781E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624260E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.315937E-01
   0.156989E-04   0.623288E+07   0.623288E+07   0.830771E+07   0.830770E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.322319E-01
   0.160160E-04   0.623288E+07   0.623288E+07   0.830760E+07   0.830759E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.328830E-01
   0.163396E-04   0.623288E+07   0.623288E+07   0.830748E+07   0.830747E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611908E+07   0.611908E+07   0.335472E-01
   0.166696E-04   0.623288E+07   0.623288E+07   0.830736E+07   0.830734E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611907E+07   0.611907E+07   0.342249E-01
   0.170064E-04   0.623288E+07   0.623288E+07   0.830723E+07   0.830721E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611907E+07   0.611907E+07   0.349162E-01
   0.173499E-04   0.623288E+07   0.623288E+07   0.830709E+07   0.830708E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611907E+07   0.611907E+07   0.356216E-01
   0.177004E-04   0.623288E+07   0.623288E+07   0.830695E+07   0.830694E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611907E+07   0.611907E+07   0.363411E-01
   0.180580E-04   0.623288E+07   0.623288E+07   0.830681E+07   0.830679E+07   0.000000E+00   0.623288E+07   0.623288E+07   0.624259E+07  -0.596672E+00   0.611907E+07   0.611907E+07   0.370752E-01
   0.184228E-04   0.623287E+07   0.623287E+07   0.830666E+07   0.830664E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624259E+07  -0.596671E+00   0.611907E+07   0.611907E+07   0.378241E-01
   0.187950E-04   0.623287E+07   0.623287E+07   0.830650E+07   0.830648E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624259E+07  -0.596671E+00   0.611907E+07   0.611907E+07   0.385882E-01
   0.191746E-04   0.623287E+07   0.623287E+07   0.830633E+07   0.830631E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624259E+07  -0.596671E+00   0.611907E+07   0.611907E+07   0.393677E-01
   0.195620E-04   0.623287E+07   0.623287E+07   0.830616E+07   0.830614E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624258E+07  -0.596671E+00   0.611907E+07   0.611907E+07   0.401629E-01
   0.199572E-04   0.623287E+07   0.623287E+07   0.830598E+07   0.830596E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624258E+07  -0.596671E+00   0.611907E+07   0.611907E+07   0.409742E-01
   0.203603E-04   0.623287E+07   0.623287E+07   0.830580E+07   0.830578E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624258E+07  -0.596671E+00   0.611907E+07   0.611907E+07   0.418019E-01
   0.207716E-04   0.623287E+07   0.623287E+07   0.830561E+07   0.830558E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624258E+07  -0.596671E+00   0.611906E+07   0.611906E+07   0.426463E-01
   0.211913E-04   0.623287E+07   0.623287E+07   0.830540E+07   0.830538E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624258E+07  -0.596671E+00   0.611906E+07   0.611906E+07   0.435077E-01
   0.216194E-04   0.623287E+07   0.623287E+07   0.830520E+07   0.830517E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624258E+07  -0.596671E+00   0.611906E+07   0.611906E+07   0.443866E-01
   0.220561E-04   0.623287E+07   0.623287E+07   0.830498E+07   0.830495E+07   0.000000E+00   0.623287E+07   0.623287E+07   0.624258E+07  -0.596670E+00   0.611906E+07   0.611906E+07   0.452832E-01
   0.225017E-04   0.623286E+07   0.623286E+07   0.830475E+07   0.830472E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624258E+07  -0.596670E+00   0.611906E+07   0.611906E+07   0.461979E-01
   0.229562E-04   0.623286E+07   0.623286E+07   0.830452E+07   0.830449E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624257E+07  -0.596670E+00   0.611906E+07   0.611906E+07   0.471311E-01
   0.234200E-04   0.623286E+07   0.623286E+07   0.830427E+07   0.830424E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624257E+07  -0.596670E+00   0.611906E+07   0.611906E+07   0.480831E-01
   0.238931E-04   0.623286E+07   0.623286E+07   0.830402E+07   0.830398E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624257E+07  -0.596670E+00   0.611906E+07   0.611906E+07   0.490543E-01
   0.243758E-04   0.623286E+07   0.623286E+07   0.830375E+07   0.830372E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624257E+07  -0.596670E+00   0.611906E+07   0.611906E+07   0.500452E-01
   0.248682E-04   0.623286E+07   0.623286E+07   0.830347E+07   0.830344E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624257E+07  -0.596669E+00   0.611906E+07   0.611906E+07   0.510561E-01
   0.253705E-04   0.623286E+07   0.623286E+07   0.830319E+07   0.830315E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624257E+07  -0.596669E+00   0.611905E+07   0.611905E+07   0.520874E-01
   0.258831E-04   0.623286E+07   0.623286E+07   0.830289E+07   0.830285E+07   0.000000E+00   0.623286E+07   0.623286E+07   0.624256E+07  -0.596669E+00   0.611905E+07   0.611905E+07   0.531395E-01
