#           k/h    P           
    0.10736E-04    0.86879E+01
    0.10953E-04    0.88568E+01
    0.11174E-04    0.90289E+01
    0.11400E-04    0.92044E+01
    0.11630E-04    0.93832E+01
    0.11865E-04    0.95656E+01
    0.12105E-04    0.97515E+01
    0.12349E-04    0.99410E+01
    0.12599E-04    0.10134E+02
    0.12853E-04    0.10331E+02
    0.13113E-04    0.10532E+02
    0.13378E-04    0.10737E+02
    0.13648E-04    0.10945E+02
    0.13924E-04    0.11158E+02
    0.14205E-04    0.11375E+02
    0.14492E-04    0.11596E+02
    0.14785E-04    0.11821E+02
    0.15083E-04    0.12051E+02
    0.15388E-04    0.12285E+02
    0.15699E-04    0.12524E+02
    0.16016E-04    0.12767E+02
    0.16340E-04    0.13015E+02
    0.16670E-04    0.13268E+02
    0.17006E-04    0.13526E+02
    0.17350E-04    0.13789E+02
    0.17700E-04    0.14057E+02
    0.18058E-04    0.14330E+02
    0.18423E-04    0.14609E+02
    0.18795E-04    0.14893E+02
    0.19175E-04    0.15182E+02
    0.19562E-04    0.15477E+02
    0.19957E-04    0.15778E+02
    0.20360E-04    0.16085E+02
    0.20772E-04    0.16397E+02
    0.21191E-04    0.16716E+02
    0.21619E-04    0.17041E+02
    0.22056E-04    0.17372E+02
    0.22502E-04    0.17710E+02
    0.22956E-04    0.18054E+02
    0.23420E-04    0.18405E+02
    0.23893E-04    0.18762E+02
    0.24376E-04    0.19127E+02
    0.24868E-04    0.19499E+02
    0.25371E-04    0.19877E+02
    0.25883E-04    0.20264E+02
    0.26406E-04    0.20658E+02
    0.26939E-04    0.21059E+02
    0.27484E-04    0.21468E+02
    0.28039E-04    0.21885E+02
    0.28605E-04    0.22311E+02
    0.29183E-04    0.22744E+02
    0.29773E-04    0.23186E+02
    0.30374E-04    0.23637E+02
    0.30988E-04    0.24096E+02
    0.31614E-04    0.24565E+02
    0.32252E-04    0.25042E+02
    0.32904E-04    0.25529E+02
    0.33569E-04    0.26025E+02
    0.34247E-04    0.26531E+02
    0.34938E-04    0.27046E+02
    0.35644E-04    0.27572E+02
    0.36364E-04    0.28108E+02
    0.37099E-04    0.28654E+02
    0.37848E-04    0.29211E+02
    0.38613E-04    0.29778E+02
    0.39393E-04    0.30357E+02
    0.40189E-04    0.30947E+02
    0.41001E-04    0.31548E+02
    0.41829E-04    0.32161E+02
    0.42674E-04    0.32786E+02
    0.43536E-04    0.33423E+02
    0.44416E-04    0.34073E+02
    0.45313E-04    0.34735E+02
    0.46228E-04    0.35410E+02
    0.47162E-04    0.36098E+02
    0.48115E-04    0.36800E+02
    0.49087E-04    0.37515E+02
    0.50078E-04    0.38244E+02
    0.51090E-04    0.38987E+02
    0.52122E-04    0.39745E+02
    0.53175E-04    0.40517E+02
    0.54249E-04    0.41304E+02
    0.55345E-04    0.42107E+02
    0.56463E-04    0.42925E+02
    0.57604E-04    0.43759E+02
    0.58767E-04    0.44609E+02
    0.59955E-04    0.45476E+02
    0.61166E-04    0.46360E+02
    0.62401E-04    0.47261E+02
    0.63662E-04    0.48179E+02
    0.64948E-04    0.49115E+02
    0.66260E-04    0.50070E+02
    0.67599E-04    0.51043E+02
    0.68964E-04    0.52034E+02
    0.70357E-04    0.53045E+02
    0.71779E-04    0.54076E+02
    0.73229E-04    0.55127E+02
    0.74708E-04    0.56198E+02
    0.76217E-04    0.57290E+02
    0.77757E-04    0.58403E+02
