#           k/h    P           
    0.10736E-04    0.72284E-02
    0.10953E-04    0.73689E-02
    0.11174E-04    0.75121E-02
    0.11400E-04    0.76581E-02
    0.11630E-04    0.78069E-02
    0.11865E-04    0.79586E-02
    0.12105E-04    0.81133E-02
    0.12349E-04    0.82710E-02
    0.12599E-04    0.84317E-02
    0.12853E-04    0.85956E-02
    0.13113E-04    0.87626E-02
    0.13378E-04    0.89329E-02
    0.13648E-04    0.91065E-02
    0.13924E-04    0.92835E-02
    0.14205E-04    0.94639E-02
    0.14492E-04    0.96479E-02
    0.14785E-04    0.98354E-02
    0.15083E-04    0.10026E-01
    0.15388E-04    0.10221E-01
    0.15699E-04    0.10420E-01
    0.16016E-04    0.10623E-01
    0.16340E-04    0.10829E-01
    0.16670E-04    0.11039E-01
    0.17006E-04    0.11254E-01
    0.17350E-04    0.11473E-01
    0.17700E-04    0.11696E-01
    0.18058E-04    0.11923E-01
    0.18423E-04    0.12155E-01
    0.18795E-04    0.12391E-01
    0.19175E-04    0.12632E-01
    0.19562E-04    0.12877E-01
    0.19957E-04    0.13127E-01
    0.20360E-04    0.13383E-01
    0.20772E-04    0.13643E-01
    0.21191E-04    0.13908E-01
    0.21619E-04    0.14178E-01
    0.22056E-04    0.14454E-01
    0.22502E-04    0.14734E-01
    0.22956E-04    0.15021E-01
    0.23420E-04    0.15313E-01
    0.23893E-04    0.15610E-01
    0.24376E-04    0.15914E-01
    0.24868E-04    0.16223E-01
    0.25371E-04    0.16538E-01
    0.25883E-04    0.16860E-01
    0.26406E-04    0.17187E-01
    0.26939E-04    0.17521E-01
    0.27484E-04    0.17862E-01
    0.28039E-04    0.18209E-01
    0.28605E-04    0.18563E-01
    0.29183E-04    0.18924E-01
    0.29773E-04    0.19291E-01
    0.30374E-04    0.19666E-01
    0.30988E-04    0.20049E-01
    0.31614E-04    0.20438E-01
    0.32252E-04    0.20835E-01
    0.32904E-04    0.21240E-01
    0.33569E-04    0.21653E-01
    0.34247E-04    0.22074E-01
    0.34938E-04    0.22503E-01
    0.35644E-04    0.22940E-01
    0.36364E-04    0.23386E-01
    0.37099E-04    0.23840E-01
    0.37848E-04    0.24304E-01
    0.38613E-04    0.24776E-01
    0.39393E-04    0.25258E-01
    0.40189E-04    0.25749E-01
    0.41001E-04    0.26249E-01
    0.41829E-04    0.26759E-01
    0.42674E-04    0.27279E-01
    0.43536E-04    0.27809E-01
    0.44416E-04    0.28350E-01
    0.45313E-04    0.28901E-01
    0.46228E-04    0.29462E-01
    0.47162E-04    0.30035E-01
    0.48115E-04    0.30619E-01
    0.49087E-04    0.31214E-01
    0.50078E-04    0.31820E-01
    0.51090E-04    0.32439E-01
    0.52122E-04    0.33069E-01
    0.53175E-04    0.33712E-01
    0.54249E-04    0.34367E-01
    0.55345E-04    0.35035E-01
    0.56463E-04    0.35716E-01
    0.57604E-04    0.36410E-01
    0.58767E-04    0.37117E-01
    0.59955E-04    0.37838E-01
    0.61166E-04    0.38574E-01
    0.62401E-04    0.39323E-01
    0.63662E-04    0.40088E-01
    0.64948E-04    0.40867E-01
    0.66260E-04    0.41661E-01
    0.67599E-04    0.42471E-01
    0.68964E-04    0.43296E-01
    0.70357E-04    0.44137E-01
    0.71779E-04    0.44995E-01
    0.73229E-04    0.45869E-01
    0.74708E-04    0.46761E-01
    0.76217E-04    0.47670E-01
    0.77757E-04    0.48596E-01
    0.79328E-04    0.49540E-01
    0.80930E-04    0.50503E-01
    0.82565E-04    0.51484E-01
    0.84233E-04    0.52485E-01
    0.85935E-04    0.53505E-01
    0.87671E-04    0.54545E-01
    0.89442E-04    0.55605E-01
    0.91249E-04    0.56685E-01
    0.93092E-04    0.57787E-01
    0.94973E-04    0.58910E-01
    0.96891E-04    0.60054E-01
    0.98849E-04    0.61221E-01
    0.10085E-03    0.62411E-01
    0.10288E-03    0.63624E-01
    0.10496E-03    0.64860E-01
    0.10708E-03    0.66121E-01
    0.10924E-03    0.67406E-01
    0.11145E-03    0.68715E-01
    0.11370E-03    0.70051E-01
    0.11600E-03    0.71412E-01
    0.11834E-03    0.72800E-01
    0.12073E-03    0.74214E-01
    0.12317E-03    0.75656E-01
    0.12566E-03    0.77126E-01
    0.12820E-03    0.78625E-01
    0.13079E-03    0.80153E-01
    0.13343E-03    0.81710E-01
    0.13613E-03    0.83298E-01
    0.13888E-03    0.84917E-01
    0.14168E-03    0.86566E-01
    0.14454E-03    0.88249E-01
    0.14746E-03    0.89963E-01
    0.15044E-03    0.91711E-01
    0.15348E-03    0.93493E-01
    0.15658E-03    0.95310E-01
    0.15975E-03    0.97162E-01
    0.16297E-03    0.99049E-01
    0.16627E-03    0.10097E+00
    0.16962E-03    0.10294E+00
    0.17305E-03    0.10494E+00
    0.17655E-03    0.10697E+00
    0.18011E-03    0.10905E+00
    0.18375E-03    0.11117E+00
