#           k/h    P           
    0.45196E-03    0.10783E+04
    0.46109E-03    0.10991E+04
    0.47040E-03    0.11202E+04
    0.47991E-03    0.11418E+04
    0.48960E-03    0.11637E+04
    0.49949E-03    0.11861E+04
    0.50958E-03    0.12089E+04
    0.51988E-03    0.12321E+04
    0.53038E-03    0.12558E+04
    0.54109E-03    0.12799E+04
    0.55202E-03    0.13044E+04
    0.56317E-03    0.13295E+04
    0.57455E-03    0.13549E+04
    0.58616E-03    0.13809E+04
    0.59800E-03    0.14073E+04
    0.61008E-03    0.14343E+04
    0.62240E-03    0.14617E+04
    0.63498E-03    0.14897E+04
    0.64780E-03    0.15181E+04
    0.66089E-03    0.15471E+04
    0.67424E-03    0.15766E+04
    0.68786E-03    0.16067E+04
    0.70176E-03    0.16373E+04
    0.71593E-03    0.16685E+04
    0.73040E-03    0.17003E+04
    0.74515E-03    0.17326E+04
    0.76021E-03    0.17655E+04
    0.77556E-03    0.17991E+04
    0.79123E-03    0.18332E+04
    0.80721E-03    0.18680E+04
    0.82352E-03    0.19033E+04
    0.84016E-03    0.19394E+04
    0.85713E-03    0.19761E+04
    0.87444E-03    0.20134E+04
    0.89211E-03    0.20514E+04
    0.91013E-03    0.20901E+04
    0.92852E-03    0.21295E+04
    0.94727E-03    0.21696E+04
    0.96641E-03    0.22104E+04
    0.98593E-03    0.22519E+04
    0.10059E-02    0.22942E+04
    0.10262E-02    0.23372E+04
    0.10469E-02    0.23809E+04
    0.10680E-02    0.24255E+04
    0.10896E-02    0.24708E+04
    0.11116E-02    0.25169E+04
    0.11341E-02    0.25638E+04
    0.11570E-02    0.26115E+04
    0.11804E-02    0.26600E+04
    0.12042E-02    0.27094E+04
    0.12285E-02    0.27596E+04
    0.12534E-02    0.28107E+04
    0.12787E-02    0.28627E+04
    0.13045E-02    0.29155E+04
    0.13309E-02    0.29692E+04
    0.13578E-02    0.30238E+04
    0.13852E-02    0.30794E+04
    0.14132E-02    0.31358E+04
    0.14417E-02    0.31932E+04
    0.14708E-02    0.32516E+04
    0.15006E-02    0.33109E+04
    0.15309E-02    0.33712E+04
    0.15618E-02    0.34325E+04
    0.15933E-02    0.34947E+04
    0.16255E-02    0.35580E+04
    0.16584E-02    0.36222E+04
    0.16919E-02    0.36875E+04
    0.17260E-02    0.37539E+04
    0.17609E-02    0.38212E+04
    0.17965E-02    0.38897E+04
    0.18328E-02    0.39592E+04
    0.18698E-02    0.40297E+04
    0.19076E-02    0.41014E+04
    0.19461E-02    0.41741E+04
    0.19854E-02    0.42479E+04
    0.20255E-02    0.43229E+04
    0.20665E-02    0.43989E+04
    0.21082E-02    0.44761E+04
    0.21508E-02    0.45544E+04
    0.21942E-02    0.46339E+04
    0.22386E-02    0.47144E+04
    0.22838E-02    0.47962E+04
    0.23299E-02    0.48791E+04
    0.23770E-02    0.49631E+04
    0.24250E-02    0.50484E+04
    0.24740E-02    0.51347E+04
    0.25240E-02    0.52223E+04
    0.25750E-02    0.53110E+04
    0.26270E-02    0.54010E+04
    0.26800E-02    0.54921E+04
    0.27342E-02    0.55843E+04
    0.27894E-02    0.56778E+04
    0.28458E-02    0.57724E+04
    0.29033E-02    0.58682E+04
    0.29619E-02    0.59652E+04
    0.30217E-02    0.60634E+04
    0.30828E-02    0.61627E+04
    0.31451E-02    0.62632E+04
    0.32086E-02    0.63649E+04
    0.32734E-02    0.64677E+04
    0.33395E-02    0.65717E+04
    0.34070E-02    0.66768E+04
    0.34758E-02    0.67830E+04
    0.35460E-02    0.68903E+04
    0.36177E-02    0.69988E+04
    0.36908E-02    0.71083E+04
    0.37653E-02    0.72189E+04
    0.38414E-02    0.73306E+04
    0.39190E-02    0.74433E+04
    0.39982E-02    0.75571E+04
    0.40789E-02    0.76719E+04
    0.41613E-02    0.77876E+04
    0.42454E-02    0.79043E+04
    0.43312E-02    0.80219E+04
    0.44186E-02    0.81405E+04
    0.45079E-02    0.82599E+04
    0.45990E-02    0.83802E+04
    0.46919E-02    0.85013E+04
    0.47867E-02    0.86233E+04
    0.48834E-02    0.87459E+04
    0.49820E-02    0.88693E+04
    0.50827E-02    0.89934E+04
    0.51853E-02    0.91181E+04
    0.52901E-02    0.92434E+04
    0.53969E-02    0.93693E+04
    0.55060E-02    0.94956E+04
    0.56172E-02    0.96225E+04
    0.57307E-02    0.97497E+04
    0.58464E-02    0.98773E+04
    0.59645E-02    0.10005E+05
    0.60850E-02    0.10133E+05
    0.62080E-02    0.10262E+05
    0.63334E-02    0.10390E+05
    0.64613E-02    0.10519E+05
    0.65918E-02    0.10647E+05
    0.67250E-02    0.10776E+05
    0.68609E-02    0.10904E+05
    0.69995E-02    0.11032E+05
    0.71409E-02    0.11160E+05
    0.72851E-02    0.11287E+05
    0.74323E-02    0.11414E+05
    0.75824E-02    0.11540E+05
    0.77356E-02    0.11666E+05
    0.78919E-02    0.11791E+05
    0.80513E-02    0.11915E+05
    0.82139E-02    0.12038E+05
    0.83799E-02    0.12160E+05
    0.85492E-02    0.12281E+05
    0.87219E-02    0.12400E+05
    0.88981E-02    0.12519E+05
    0.90778E-02    0.12636E+05
    0.92612E-02    0.12751E+05
    0.94483E-02    0.12864E+05
    0.96392E-02    0.12976E+05
    0.98339E-02    0.13086E+05
    0.10033E-01    0.13193E+05
    0.10235E-01    0.13299E+05
    0.10442E-01    0.13402E+05
    0.10653E-01    0.13502E+05
    0.10868E-01    0.13600E+05
    0.11088E-01    0.13696E+05
    0.11312E-01    0.13788E+05
    0.11540E-01    0.13877E+05
    0.11773E-01    0.13963E+05
    0.12011E-01    0.14046E+05
    0.12254E-01    0.14125E+05
    0.12501E-01    0.14200E+05
    0.12754E-01    0.14271E+05
    0.13011E-01    0.14339E+05
    0.13274E-01    0.14402E+05
    0.13543E-01    0.14461E+05
    0.13816E-01    0.14516E+05
    0.14095E-01    0.14566E+05
    0.14380E-01    0.14611E+05
    0.14670E-01    0.14651E+05
    0.14967E-01    0.14686E+05
    0.15269E-01    0.14716E+05
    0.15578E-01    0.14740E+05
    0.15892E-01    0.14759E+05
    0.16213E-01    0.14772E+05
    0.16541E-01    0.14779E+05
    0.16875E-01    0.14780E+05
    0.17216E-01    0.14775E+05
    0.17564E-01    0.14763E+05
    0.17918E-01    0.14746E+05
    0.18280E-01    0.14721E+05
    0.18650E-01    0.14690E+05
    0.19027E-01    0.14653E+05
    0.19411E-01    0.14608E+05
    0.19803E-01    0.14557E+05
    0.20203E-01    0.14499E+05
    0.20611E-01    0.14433E+05
    0.21028E-01    0.14361E+05
    0.21452E-01    0.14282E+05
    0.21886E-01    0.14196E+05
    0.22328E-01    0.14102E+05
    0.22779E-01    0.14002E+05
    0.23239E-01    0.13895E+05
    0.23708E-01    0.13781E+05
    0.24187E-01    0.13661E+05
    0.24676E-01    0.13533E+05
    0.25175E-01    0.13400E+05
    0.25683E-01    0.13260E+05
    0.26202E-01    0.13115E+05
    0.26731E-01    0.12963E+05
    0.27271E-01    0.12806E+05
    0.27822E-01    0.12644E+05
    0.28384E-01    0.12477E+05
    0.28958E-01    0.12305E+05
    0.29543E-01    0.12129E+05
    0.30139E-01    0.11950E+05
    0.30748E-01    0.11767E+05
    0.31369E-01    0.11581E+05
    0.32003E-01    0.11392E+05
    0.32650E-01    0.11202E+05
    0.33309E-01    0.11010E+05
    0.33982E-01    0.10817E+05
    0.34669E-01    0.10623E+05
    0.35369E-01    0.10430E+05
    0.36083E-01    0.10237E+05
    0.36812E-01    0.10046E+05
    0.37556E-01    0.98558E+04
    0.38315E-01    0.96654E+04
    0.39089E-01    0.94776E+04
    0.39878E-01    0.92929E+04
    0.40684E-01    0.91119E+04
    0.41506E-01    0.89352E+04
    0.42344E-01    0.87632E+04
    0.43200E-01    0.85965E+04
    0.44072E-01    0.84354E+04
    0.44963E-01    0.82801E+04
    0.45871E-01    0.81308E+04
    0.46798E-01    0.79876E+04
    0.47743E-01    0.78504E+04
    0.48708E-01    0.77191E+04
    0.49691E-01    0.75935E+04
    0.50695E-01    0.74734E+04
    0.51719E-01    0.73584E+04
    0.52764E-01    0.72480E+04
    0.53830E-01    0.71419E+04
    0.54918E-01    0.70396E+04
    0.56027E-01    0.69406E+04
    0.57159E-01    0.68448E+04
    0.58313E-01    0.67525E+04
    0.59491E-01    0.66619E+04
    0.60693E-01    0.65836E+04
    0.61919E-01    0.64955E+04
    0.63170E-01    0.64066E+04
    0.64446E-01    0.63160E+04
    0.65748E-01    0.62227E+04
    0.67077E-01    0.61260E+04
    0.68432E-01    0.60250E+04
    0.69814E-01    0.59188E+04
    0.71224E-01    0.58069E+04
    0.72663E-01    0.56888E+04
    0.74131E-01    0.55643E+04
    0.75629E-01    0.54334E+04
    0.77156E-01    0.52962E+04
    0.78715E-01    0.51533E+04
    0.80305E-01    0.50054E+04
    0.81927E-01    0.48534E+04
    0.83582E-01    0.46985E+04
    0.85271E-01    0.45419E+04
    0.86993E-01    0.43848E+04
    0.88751E-01    0.42287E+04
    0.90544E-01    0.40751E+04
    0.92373E-01    0.39252E+04
    0.94239E-01    0.37806E+04
    0.96143E-01    0.36426E+04
    0.98085E-01    0.35123E+04
    0.10007E+00    0.33910E+04
    0.10209E+00    0.32792E+04
    0.10415E+00    0.31776E+04
    0.10625E+00    0.30861E+04
    0.10840E+00    0.30045E+04
    0.11059E+00    0.29320E+04
    0.11282E+00    0.28675E+04
    0.11510E+00    0.28098E+04
    0.11743E+00    0.27573E+04
    0.11980E+00    0.27084E+04
    0.12222E+00    0.26611E+04
    0.12469E+00    0.26135E+04
    0.12721E+00    0.25636E+04
    0.12978E+00    0.25094E+04
    0.13240E+00    0.24494E+04
    0.13508E+00    0.23826E+04
    0.13780E+00    0.23088E+04
    0.14059E+00    0.22289E+04
    0.14343E+00    0.21442E+04
    0.14633E+00    0.20568E+04
    0.14928E+00    0.19687E+04
    0.15230E+00    0.18818E+04
    0.15537E+00    0.17982E+04
    0.15851E+00    0.17194E+04
    0.16171E+00    0.16472E+04
    0.16498E+00    0.15829E+04
    0.16831E+00    0.15270E+04
    0.17171E+00    0.14795E+04
    0.17518E+00    0.14394E+04
    0.17872E+00    0.14047E+04
    0.18233E+00    0.13733E+04
    0.18602E+00    0.13431E+04
    0.18977E+00    0.13119E+04
    0.19361E+00    0.12783E+04
    0.19752E+00    0.12409E+04
    0.20151E+00    0.11992E+04
    0.20558E+00    0.11535E+04
    0.20973E+00    0.11049E+04
    0.21397E+00    0.10553E+04
    0.21829E+00    0.10068E+04
    0.22270E+00    0.96106E+03
    0.22720E+00    0.91969E+03
    0.23179E+00    0.88351E+03
    0.23647E+00    0.85260E+03
    0.24125E+00    0.82617E+03
    0.24612E+00    0.80276E+03
    0.25110E+00    0.78058E+03
    0.25617E+00    0.75798E+03
    0.26134E+00    0.73377E+03
    0.26662E+00    0.70745E+03
    0.27201E+00    0.67920E+03
    0.27750E+00    0.64990E+03
    0.28311E+00    0.62083E+03
    0.28883E+00    0.59340E+03
    0.29466E+00    0.56859E+03
    0.30062E+00    0.54671E+03
    0.30669E+00    0.52735E+03
    0.31288E+00    0.50973E+03
    0.31920E+00    0.49289E+03
    0.32565E+00    0.47581E+03
    0.33223E+00    0.45791E+03
    0.33894E+00    0.43928E+03
    0.34579E+00    0.42051E+03
    0.35278E+00    0.40234E+03
    0.35990E+00    0.38542E+03
    0.36717E+00    0.37006E+03
    0.37459E+00    0.35606E+03
    0.38216E+00    0.34294E+03
    0.38988E+00    0.33014E+03
    0.39775E+00    0.31725E+03
    0.40579E+00    0.30425E+03
    0.41399E+00    0.29140E+03
    0.42235E+00    0.27907E+03
    0.43088E+00    0.26751E+03
    0.43959E+00    0.25679E+03
    0.44847E+00    0.24668E+03
    0.45753E+00    0.23688E+03
    0.46677E+00    0.22724E+03
    0.47620E+00    0.21775E+03
    0.48582E+00    0.20855E+03
    0.49563E+00    0.19980E+03
    0.50564E+00    0.19153E+03
    0.51586E+00    0.18368E+03
    0.52628E+00    0.17610E+03
    0.53691E+00    0.16874E+03
    0.54776E+00    0.16160E+03
    0.55882E+00    0.15474E+03
    0.57011E+00    0.14820E+03
    0.58163E+00    0.14196E+03
    0.59338E+00    0.13598E+03
    0.60537E+00    0.13020E+03
    0.61760E+00    0.12463E+03
    0.63007E+00    0.11928E+03
    0.64280E+00    0.11418E+03
    0.65579E+00    0.10929E+03
    0.66903E+00    0.10459E+03
    0.68255E+00    0.10007E+03
    0.69634E+00    0.95737E+02
    0.71040E+00    0.91590E+02
    0.72475E+00    0.87614E+02
    0.73940E+00    0.83801E+02
    0.75433E+00    0.80145E+02
    0.76957E+00    0.76638E+02
    0.78512E+00    0.73281E+02
    0.80098E+00    0.70064E+02
    0.81716E+00    0.66979E+02
    0.83367E+00    0.64025E+02
    0.85051E+00    0.61196E+02
    0.86769E+00    0.58486E+02
    0.88522E+00    0.55890E+02
    0.90310E+00    0.53405E+02
    0.92134E+00    0.51026E+02
    0.93996E+00    0.48749E+02
    0.95894E+00    0.46568E+02
    0.97832E+00    0.44482E+02
    0.99808E+00    0.42486E+02
    0.10182E+01    0.40575E+02
    0.10388E+01    0.38747E+02
    0.10598E+01    0.36998E+02
    0.10812E+01    0.35325E+02
    0.11030E+01    0.33724E+02
    0.11253E+01    0.32194E+02
    0.11481E+01    0.30730E+02
    0.11713E+01    0.29331E+02
    0.11949E+01    0.27993E+02
    0.12191E+01    0.26714E+02
    0.12437E+01    0.25491E+02
    0.12688E+01    0.24323E+02
    0.12944E+01    0.23206E+02
    0.13206E+01    0.22139E+02
    0.13473E+01    0.21119E+02
    0.13745E+01    0.20145E+02
    0.14023E+01    0.19214E+02
    0.14306E+01    0.18324E+02
    0.14595E+01    0.17475E+02
    0.14890E+01    0.16664E+02
    0.15190E+01    0.15889E+02
    0.15497E+01    0.15149E+02
    0.15810E+01    0.14443E+02
    0.16130E+01    0.13769E+02
    0.16456E+01    0.13125E+02
    0.16788E+01    0.12510E+02
    0.17127E+01    0.11924E+02
    0.17473E+01    0.11364E+02
    0.17826E+01    0.10829E+02
    0.18186E+01    0.10319E+02
    0.18554E+01    0.98329E+01
    0.18928E+01    0.93687E+01
    0.19311E+01    0.89258E+01
    0.19701E+01    0.85033E+01
    0.20099E+01    0.81002E+01
    0.20505E+01    0.77158E+01
    0.20919E+01    0.73492E+01
    0.21342E+01    0.69996E+01
    0.21773E+01    0.66661E+01
    0.22213E+01    0.63482E+01
    0.22661E+01    0.60451E+01
    0.23119E+01    0.57560E+01
    0.23586E+01    0.54805E+01
    0.24063E+01    0.52179E+01
    0.24549E+01    0.49675E+01
    0.25045E+01    0.47289E+01
    0.25551E+01    0.45015E+01
    0.26067E+01    0.42848E+01
    0.26593E+01    0.40783E+01
    0.27131E+01    0.38815E+01
    0.27679E+01    0.36940E+01
    0.28238E+01    0.35154E+01
    0.28808E+01    0.33452E+01
    0.29390E+01    0.31831E+01
    0.29984E+01    0.30287E+01
    0.30590E+01    0.28816E+01
    0.31208E+01    0.27415E+01
    0.31838E+01    0.26081E+01
    0.32481E+01    0.24810E+01
    0.33137E+01    0.23601E+01
    0.33807E+01    0.22449E+01
    0.34490E+01    0.21352E+01
    0.35187E+01    0.20307E+01
    0.35897E+01    0.19313E+01
    0.36623E+01    0.18367E+01
    0.37362E+01    0.17466E+01
    0.38117E+01    0.16608E+01
    0.38887E+01    0.15792E+01
    0.39673E+01    0.15015E+01
    0.40474E+01    0.14276E+01
    0.41292E+01    0.13573E+01
    0.42126E+01    0.12903E+01
    0.42977E+01    0.12266E+01
    0.43845E+01    0.11660E+01
    0.44731E+01    0.11083E+01
    0.45634E+01    0.10535E+01
    0.46556E+01    0.10013E+01
    0.47497E+01    0.95164E+00
    0.48456E+01    0.90442E+00
    0.49435E+01    0.85950E+00
    0.50434E+01    0.81677E+00
    0.51453E+01    0.77613E+00
    0.52492E+01    0.73749E+00
    0.53553E+01    0.70074E+00
    0.54634E+01    0.66579E+00
    0.55738E+01    0.63256E+00
    0.56864E+01    0.60096E+00
    0.58013E+01    0.57092E+00
    0.59185E+01    0.54235E+00
    0.60380E+01    0.51520E+00
    0.61600E+01    0.48938E+00
    0.62844E+01    0.46484E+00
    0.64114E+01    0.44151E+00
    0.65409E+01    0.41934E+00
    0.66731E+01    0.39826E+00
    0.68079E+01    0.37823E+00
    0.69454E+01    0.35920E+00
    0.70857E+01    0.34110E+00
    0.72288E+01    0.32391E+00
    0.73749E+01    0.30757E+00
    0.75238E+01    0.29205E+00
    0.76758E+01    0.27729E+00
