#           k/h    P           
    0.10736E-04    0.49603E+01
    0.10953E-04    0.50567E+01
    0.11174E-04    0.51550E+01
    0.11400E-04    0.52552E+01
    0.11630E-04    0.53573E+01
    0.11865E-04    0.54614E+01
    0.12105E-04    0.55675E+01
    0.12349E-04    0.56757E+01
    0.12599E-04    0.57860E+01
    0.12853E-04    0.58985E+01
    0.13113E-04    0.60131E+01
    0.13378E-04    0.61300E+01
    0.13648E-04    0.62491E+01
    0.13924E-04    0.63706E+01
    0.14205E-04    0.64944E+01
    0.14492E-04    0.66206E+01
    0.14785E-04    0.67493E+01
    0.15083E-04    0.68804E+01
    0.15388E-04    0.70141E+01
    0.15699E-04    0.71505E+01
    0.16016E-04    0.72894E+01
    0.16340E-04    0.74311E+01
    0.16670E-04    0.75755E+01
    0.17006E-04    0.77227E+01
    0.17350E-04    0.78728E+01
    0.17700E-04    0.80258E+01
    0.18058E-04    0.81818E+01
    0.18423E-04    0.83408E+01
    0.18795E-04    0.85029E+01
    0.19175E-04    0.86681E+01
    0.19562E-04    0.88366E+01
    0.19957E-04    0.90083E+01
    0.20360E-04    0.91834E+01
    0.20772E-04    0.93619E+01
    0.21191E-04    0.95438E+01
    0.21619E-04    0.97293E+01
    0.22056E-04    0.99184E+01
    0.22502E-04    0.10111E+02
    0.22956E-04    0.10308E+02
    0.23420E-04    0.10508E+02
    0.23893E-04    0.10712E+02
    0.24376E-04    0.10920E+02
    0.24868E-04    0.11133E+02
    0.25371E-04    0.11349E+02
    0.25883E-04    0.11569E+02
    0.26406E-04    0.11794E+02
    0.26939E-04    0.12024E+02
    0.27484E-04    0.12257E+02
    0.28039E-04    0.12495E+02
    0.28605E-04    0.12738E+02
    0.29183E-04    0.12986E+02
    0.29773E-04    0.13238E+02
    0.30374E-04    0.13495E+02
    0.30988E-04    0.13758E+02
    0.31614E-04    0.14025E+02
    0.32252E-04    0.14298E+02
    0.32904E-04    0.14575E+02
    0.33569E-04    0.14859E+02
    0.34247E-04    0.15147E+02
    0.34938E-04    0.15442E+02
    0.35644E-04    0.15742E+02
    0.36364E-04    0.16048E+02
    0.37099E-04    0.16360E+02
    0.37848E-04    0.16678E+02
    0.38613E-04    0.17002E+02
    0.39393E-04    0.17332E+02
    0.40189E-04    0.17669E+02
    0.41001E-04    0.18012E+02
    0.41829E-04    0.18362E+02
    0.42674E-04    0.18719E+02
    0.43536E-04    0.19083E+02
    0.44416E-04    0.19454E+02
    0.45313E-04    0.19832E+02
    0.46228E-04    0.20217E+02
    0.47162E-04    0.20610E+02
    0.48115E-04    0.21011E+02
    0.49087E-04    0.21419E+02
    0.50078E-04    0.21835E+02
    0.51090E-04    0.22259E+02
    0.52122E-04    0.22692E+02
    0.53175E-04    0.23133E+02
    0.54249E-04    0.23582E+02
    0.55345E-04    0.24041E+02
    0.56463E-04    0.24508E+02
    0.57604E-04    0.24984E+02
    0.58767E-04    0.25470E+02
    0.59955E-04    0.25964E+02
    0.61166E-04    0.26469E+02
    0.62401E-04    0.26983E+02
    0.63662E-04    0.27508E+02
    0.64948E-04    0.28042E+02
    0.66260E-04    0.28587E+02
    0.67599E-04    0.29143E+02
    0.68964E-04    0.29709E+02
    0.70357E-04    0.30286E+02
    0.71779E-04    0.30875E+02
    0.73229E-04    0.31474E+02
    0.74708E-04    0.32086E+02
