#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.237934E+06   0.237934E+06   0.317244E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.386360E+00
   0.109527E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.394165E+00
   0.111740E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.402128E+00
   0.113997E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.410252E+00
   0.116300E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.418539E+00
   0.118650E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.426994E+00
   0.121046E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.435620E+00
   0.123492E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.444420E+00
   0.125986E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.453398E+00
   0.128531E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.462557E+00
   0.131128E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317243E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.471902E+00
   0.133777E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.481435E+00
   0.136479E-04   0.237934E+06   0.237934E+06   0.317243E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.491160E+00
   0.139237E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.501082E+00
   0.142049E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.511205E+00
   0.144919E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.521532E+00
   0.147846E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.532067E+00
   0.150833E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.542816E+00
   0.153880E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.553782E+00
   0.156989E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317242E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.564969E+00
   0.160160E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317241E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.576382E+00
   0.163396E-04   0.237934E+06   0.237934E+06   0.317242E+06   0.317241E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.588025E+00
   0.166696E-04   0.237934E+06   0.237934E+06   0.317241E+06   0.317241E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.599904E+00
   0.170064E-04   0.237934E+06   0.237934E+06   0.317241E+06   0.317241E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.612023E+00
   0.173499E-04   0.237934E+06   0.237934E+06   0.317241E+06   0.317241E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.624387E+00
   0.177004E-04   0.237934E+06   0.237934E+06   0.317241E+06   0.317241E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.637000E+00
   0.180580E-04   0.237934E+06   0.237934E+06   0.317241E+06   0.317240E+06   0.000000E+00   0.237934E+06   0.237934E+06   0.247208E+06  -0.604500E+00   0.236855E+06   0.236855E+06   0.649868E+00
