#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.198292E+08   0.198292E+08   0.264242E+08   0.264242E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.602180E-02
   0.109527E-04   0.198292E+08   0.198292E+08   0.264236E+08   0.264236E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.614344E-02
   0.111740E-04   0.198292E+08   0.198292E+08   0.264230E+08   0.264230E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.626754E-02
   0.113997E-04   0.198292E+08   0.198292E+08   0.264223E+08   0.264223E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.639414E-02
   0.116300E-04   0.198292E+08   0.198292E+08   0.264217E+08   0.264216E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.652330E-02
   0.118650E-04   0.198292E+08   0.198292E+08   0.264210E+08   0.264209E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.665507E-02
   0.121046E-04   0.198292E+08   0.198292E+08   0.264202E+08   0.264202E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.678951E-02
   0.123492E-04   0.198292E+08   0.198292E+08   0.264195E+08   0.264194E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.692665E-02
   0.125986E-04   0.198292E+08   0.198292E+08   0.264187E+08   0.264186E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.706657E-02
   0.128531E-04   0.198292E+08   0.198292E+08   0.264178E+08   0.264178E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.720931E-02
   0.131128E-04   0.198292E+08   0.198292E+08   0.264170E+08   0.264169E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.735494E-02
   0.133777E-04   0.198292E+08   0.198292E+08   0.264161E+08   0.264160E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.750351E-02
   0.136479E-04   0.198292E+08   0.198292E+08   0.264151E+08   0.264151E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.765508E-02
   0.139237E-04   0.198292E+08   0.198292E+08   0.264142E+08   0.264141E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.780971E-02
   0.142049E-04   0.198292E+08   0.198292E+08   0.264132E+08   0.264131E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.796746E-02
   0.144919E-04   0.198292E+08   0.198292E+08   0.264121E+08   0.264121E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.812840E-02
   0.147846E-04   0.198292E+08   0.198292E+08   0.264110E+08   0.264110E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.829258E-02
   0.150833E-04   0.198292E+08   0.198292E+08   0.264099E+08   0.264098E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473708E+00   0.105000E+08   0.105000E+08   0.846008E-02
   0.153880E-04   0.198292E+08   0.198292E+08   0.264087E+08   0.264086E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.863097E-02
   0.156989E-04   0.198292E+08   0.198292E+08   0.264074E+08   0.264074E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.880531E-02
   0.160160E-04   0.198292E+08   0.198292E+08   0.264062E+08   0.264061E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.898317E-02
   0.163396E-04   0.198292E+08   0.198292E+08   0.264048E+08   0.264048E+08   0.000000E+00   0.198292E+08   0.198292E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.916462E-02
   0.166696E-04   0.198291E+08   0.198291E+08   0.264034E+08   0.264034E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.934973E-02
   0.170064E-04   0.198291E+08   0.198291E+08   0.264020E+08   0.264019E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.953858E-02
   0.173499E-04   0.198291E+08   0.198291E+08   0.264005E+08   0.264004E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.973125E-02
   0.177004E-04   0.198291E+08   0.198291E+08   0.263989E+08   0.263988E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.992780E-02
   0.180580E-04   0.198291E+08   0.198291E+08   0.263973E+08   0.263972E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198369E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.101283E-01
   0.184228E-04   0.198291E+08   0.198291E+08   0.263956E+08   0.263955E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.103329E-01
   0.187950E-04   0.198291E+08   0.198291E+08   0.263938E+08   0.263937E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.105416E-01
   0.191746E-04   0.198291E+08   0.198291E+08   0.263920E+08   0.263919E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473707E+00   0.105000E+08   0.105000E+08   0.107545E-01
   0.195620E-04   0.198291E+08   0.198291E+08   0.263900E+08   0.263900E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473706E+00   0.105000E+08   0.105000E+08   0.109717E-01
   0.199572E-04   0.198291E+08   0.198291E+08   0.263881E+08   0.263880E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473706E+00   0.105000E+08   0.105000E+08   0.111933E-01
   0.203603E-04   0.198291E+08   0.198291E+08   0.263860E+08   0.263859E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473706E+00   0.105000E+08   0.105000E+08   0.114194E-01
   0.207716E-04   0.198291E+08   0.198291E+08   0.263838E+08   0.263837E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473706E+00   0.105000E+08   0.105000E+08   0.116501E-01
   0.211913E-04   0.198291E+08   0.198291E+08   0.263816E+08   0.263815E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473706E+00   0.105000E+08   0.105000E+08   0.118854E-01
   0.216194E-04   0.198291E+08   0.198291E+08   0.263792E+08   0.263791E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473706E+00   0.105000E+08   0.105000E+08   0.121254E-01
   0.220561E-04   0.198291E+08   0.198291E+08   0.263768E+08   0.263767E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473706E+00   0.105000E+08   0.105000E+08   0.123703E-01
   0.225017E-04   0.198291E+08   0.198291E+08   0.263743E+08   0.263742E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473705E+00   0.105000E+08   0.105000E+08   0.126201E-01
   0.229562E-04   0.198291E+08   0.198291E+08   0.263716E+08   0.263715E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473705E+00   0.105000E+08   0.105000E+08   0.128750E-01
   0.234200E-04   0.198291E+08   0.198291E+08   0.263689E+08   0.263688E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473705E+00   0.105000E+08   0.105000E+08   0.131351E-01
   0.238931E-04   0.198291E+08   0.198291E+08   0.263660E+08   0.263659E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473705E+00   0.105000E+08   0.105000E+08   0.134003E-01
   0.243758E-04   0.198291E+08   0.198291E+08   0.263630E+08   0.263629E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473705E+00   0.105000E+08   0.105000E+08   0.136710E-01
   0.248682E-04   0.198291E+08   0.198291E+08   0.263600E+08   0.263598E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473705E+00   0.105000E+08   0.105000E+08   0.139471E-01
   0.253705E-04   0.198291E+08   0.198291E+08   0.263567E+08   0.263566E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473704E+00   0.105000E+08   0.105000E+08   0.142287E-01
   0.258831E-04   0.198291E+08   0.198291E+08   0.263534E+08   0.263533E+08   0.000000E+00   0.198291E+08   0.198291E+08   0.198368E+08  -0.473704E+00   0.105000E+08   0.105000E+08   0.145161E-01
   0.264059E-04   0.198290E+08   0.198290E+08   0.263499E+08   0.263498E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473704E+00   0.105000E+08   0.105000E+08   0.148092E-01
   0.269394E-04   0.198290E+08   0.198290E+08   0.263463E+08   0.263461E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473704E+00   0.105000E+08   0.105000E+08   0.151083E-01
   0.274836E-04   0.198290E+08   0.198290E+08   0.263425E+08   0.263424E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473704E+00   0.105000E+08   0.105000E+08   0.154134E-01
   0.280388E-04   0.198290E+08   0.198290E+08   0.263386E+08   0.263384E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473703E+00   0.105000E+08   0.105000E+08   0.157246E-01
   0.286052E-04   0.198290E+08   0.198290E+08   0.263345E+08   0.263343E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473703E+00   0.105000E+08   0.105000E+08   0.160422E-01
   0.291831E-04   0.198290E+08   0.198290E+08   0.263302E+08   0.263301E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473703E+00   0.105000E+08   0.105000E+08   0.163661E-01
   0.297726E-04   0.198290E+08   0.198290E+08   0.263258E+08   0.263256E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473703E+00   0.104999E+08   0.104999E+08   0.166966E-01
   0.303741E-04   0.198290E+08   0.198290E+08   0.263212E+08   0.263210E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473702E+00   0.104999E+08   0.104999E+08   0.170338E-01
   0.309877E-04   0.198290E+08   0.198290E+08   0.263164E+08   0.263162E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473702E+00   0.104999E+08   0.104999E+08   0.173777E-01
   0.316137E-04   0.198290E+08   0.198290E+08   0.263114E+08   0.263112E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473702E+00   0.104999E+08   0.104999E+08   0.177286E-01
   0.322523E-04   0.198290E+08   0.198290E+08   0.263062E+08   0.263060E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198367E+08  -0.473702E+00   0.104999E+08   0.104999E+08   0.180866E-01
   0.329038E-04   0.198290E+08   0.198290E+08   0.263008E+08   0.263006E+08   0.000000E+00   0.198290E+08   0.198290E+08   0.198366E+08  -0.473701E+00   0.104999E+08   0.104999E+08   0.184518E-01
   0.335685E-04   0.198289E+08   0.198289E+08   0.262952E+08   0.262950E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198366E+08  -0.473701E+00   0.104999E+08   0.104999E+08   0.188243E-01
   0.342467E-04   0.198289E+08   0.198289E+08   0.262893E+08   0.262891E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198366E+08  -0.473701E+00   0.104999E+08   0.104999E+08   0.192044E-01
   0.349385E-04   0.198289E+08   0.198289E+08   0.262832E+08   0.262830E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198366E+08  -0.473700E+00   0.104999E+08   0.104999E+08   0.195921E-01
   0.356443E-04   0.198289E+08   0.198289E+08   0.262769E+08   0.262767E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198366E+08  -0.473700E+00   0.104999E+08   0.104999E+08   0.199877E-01
   0.363643E-04   0.198289E+08   0.198289E+08   0.262703E+08   0.262700E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198366E+08  -0.473699E+00   0.104999E+08   0.104999E+08   0.203912E-01
   0.370990E-04   0.198289E+08   0.198289E+08   0.262634E+08   0.262632E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198366E+08  -0.473699E+00   0.104999E+08   0.104999E+08   0.208029E-01
   0.378484E-04   0.198289E+08   0.198289E+08   0.262563E+08   0.262560E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198365E+08  -0.473699E+00   0.104999E+08   0.104999E+08   0.212229E-01
   0.386130E-04   0.198289E+08   0.198289E+08   0.262489E+08   0.262486E+08   0.000000E+00   0.198289E+08   0.198289E+08   0.198365E+08  -0.473698E+00   0.104999E+08   0.104999E+08   0.216513E-01
   0.393930E-04   0.198288E+08   0.198288E+08   0.262411E+08   0.262408E+08   0.000000E+00   0.198288E+08   0.198288E+08   0.198365E+08  -0.473698E+00   0.104999E+08   0.104999E+08   0.220884E-01
   0.401888E-04   0.198288E+08   0.198288E+08   0.262331E+08   0.262328E+08   0.000000E+00   0.198288E+08   0.198288E+08   0.198365E+08  -0.473697E+00   0.104999E+08   0.104999E+08   0.225342E-01
