#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.107359E-04   0.991279E+06   0.991279E+06   0.132168E+07   0.132167E+07   0.000000E+00   0.991279E+06   0.991279E+06   0.100094E+07  -0.601472E+00   0.989092E+06   0.989092E+06   0.114988E+00
   0.109527E-04   0.991279E+06   0.991279E+06   0.132167E+07   0.132167E+07   0.000000E+00   0.991279E+06   0.991279E+06   0.100094E+07  -0.601472E+00   0.989092E+06   0.989092E+06   0.117311E+00
   0.111740E-04   0.991279E+06   0.991279E+06   0.132167E+07   0.132167E+07   0.000000E+00   0.991279E+06   0.991279E+06   0.100094E+07  -0.601472E+00   0.989092E+06   0.989092E+06   0.119680E+00
   0.113997E-04   0.991279E+06   0.991279E+06   0.132167E+07   0.132167E+07   0.000000E+00   0.991279E+06   0.991279E+06   0.100094E+07  -0.601472E+00   0.989092E+06   0.989091E+06   0.122098E+00
   0.116300E-04   0.991279E+06   0.991279E+06   0.132167E+07   0.132167E+07   0.000000E+00   0.991279E+06   0.991279E+06   0.100094E+07  -0.601472E+00   0.989091E+06   0.989091E+06   0.124565E+00
   0.118650E-04   0.991279E+06   0.991278E+06   0.132167E+07   0.132167E+07   0.000000E+00   0.991279E+06   0.991279E+06   0.100094E+07  -0.601472E+00   0.989091E+06   0.989091E+06   0.127081E+00
   0.121046E-04   0.991278E+06   0.991278E+06   0.132167E+07   0.132167E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601472E+00   0.989091E+06   0.989091E+06   0.129648E+00
   0.123492E-04   0.991278E+06   0.991278E+06   0.132166E+07   0.132166E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601472E+00   0.989091E+06   0.989091E+06   0.132267E+00
   0.125986E-04   0.991278E+06   0.991278E+06   0.132166E+07   0.132166E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601472E+00   0.989091E+06   0.989091E+06   0.134939E+00
   0.128531E-04   0.991278E+06   0.991278E+06   0.132166E+07   0.132166E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601472E+00   0.989091E+06   0.989091E+06   0.137665E+00
   0.131128E-04   0.991278E+06   0.991278E+06   0.132166E+07   0.132166E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601472E+00   0.989091E+06   0.989091E+06   0.140446E+00
   0.133777E-04   0.991278E+06   0.991278E+06   0.132166E+07   0.132166E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.143283E+00
   0.136479E-04   0.991278E+06   0.991278E+06   0.132166E+07   0.132165E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.146178E+00
   0.139237E-04   0.991278E+06   0.991278E+06   0.132165E+07   0.132165E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.149131E+00
   0.142049E-04   0.991278E+06   0.991278E+06   0.132165E+07   0.132165E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.152144E+00
   0.144919E-04   0.991278E+06   0.991278E+06   0.132165E+07   0.132165E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.155217E+00
   0.147846E-04   0.991278E+06   0.991278E+06   0.132165E+07   0.132165E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.158353E+00
   0.150833E-04   0.991278E+06   0.991278E+06   0.132165E+07   0.132164E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.161552E+00
   0.153880E-04   0.991278E+06   0.991278E+06   0.132164E+07   0.132164E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.164815E+00
   0.156989E-04   0.991278E+06   0.991278E+06   0.132164E+07   0.132164E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.168145E+00
   0.160160E-04   0.991278E+06   0.991278E+06   0.132164E+07   0.132164E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.171541E+00
   0.163396E-04   0.991278E+06   0.991278E+06   0.132163E+07   0.132163E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.175007E+00
   0.166696E-04   0.991278E+06   0.991278E+06   0.132163E+07   0.132163E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.178542E+00
   0.170064E-04   0.991278E+06   0.991278E+06   0.132163E+07   0.132163E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.182149E+00
   0.173499E-04   0.991278E+06   0.991278E+06   0.132163E+07   0.132162E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.185828E+00
   0.177004E-04   0.991278E+06   0.991278E+06   0.132162E+07   0.132162E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989091E+06   0.989091E+06   0.189582E+00
   0.180580E-04   0.991278E+06   0.991278E+06   0.132162E+07   0.132162E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989090E+06   0.989090E+06   0.193412E+00
   0.184228E-04   0.991278E+06   0.991278E+06   0.132162E+07   0.132161E+07   0.000000E+00   0.991278E+06   0.991278E+06   0.100094E+07  -0.601471E+00   0.989090E+06   0.989090E+06   0.197319E+00
   0.187950E-04   0.991278E+06   0.991277E+06   0.132161E+07   0.132161E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601471E+00   0.989090E+06   0.989090E+06   0.201305E+00
   0.191746E-04   0.991277E+06   0.991277E+06   0.132161E+07   0.132160E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601471E+00   0.989090E+06   0.989090E+06   0.205372E+00
   0.195620E-04   0.991277E+06   0.991277E+06   0.132160E+07   0.132160E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601471E+00   0.989090E+06   0.989090E+06   0.209521E+00
   0.199572E-04   0.991277E+06   0.991277E+06   0.132160E+07   0.132160E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601471E+00   0.989090E+06   0.989090E+06   0.213753E+00
   0.203603E-04   0.991277E+06   0.991277E+06   0.132160E+07   0.132159E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989090E+06   0.989090E+06   0.218071E+00
   0.207716E-04   0.991277E+06   0.991277E+06   0.132159E+07   0.132159E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989090E+06   0.989090E+06   0.222476E+00
   0.211913E-04   0.991277E+06   0.991277E+06   0.132159E+07   0.132158E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989090E+06   0.989090E+06   0.226971E+00
   0.216194E-04   0.991277E+06   0.991277E+06   0.132158E+07   0.132158E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989090E+06   0.989090E+06   0.231556E+00
   0.220561E-04   0.991277E+06   0.991277E+06   0.132158E+07   0.132157E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989090E+06   0.989090E+06   0.236233E+00
   0.225017E-04   0.991277E+06   0.991277E+06   0.132157E+07   0.132157E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989090E+06   0.989090E+06   0.241006E+00
   0.229562E-04   0.991277E+06   0.991277E+06   0.132157E+07   0.132156E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989090E+06   0.989090E+06   0.245874E+00
   0.234200E-04   0.991277E+06   0.991276E+06   0.132156E+07   0.132156E+07   0.000000E+00   0.991277E+06   0.991277E+06   0.100094E+07  -0.601470E+00   0.989089E+06   0.989089E+06   0.250841E+00
   0.238931E-04   0.991276E+06   0.991276E+06   0.132155E+07   0.132155E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100094E+07  -0.601470E+00   0.989089E+06   0.989089E+06   0.255908E+00
   0.243758E-04   0.991276E+06   0.991276E+06   0.132155E+07   0.132154E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100093E+07  -0.601470E+00   0.989089E+06   0.989089E+06   0.261078E+00
   0.248682E-04   0.991276E+06   0.991276E+06   0.132154E+07   0.132154E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100093E+07  -0.601470E+00   0.989089E+06   0.989089E+06   0.266352E+00
   0.253705E-04   0.991276E+06   0.991276E+06   0.132153E+07   0.132153E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100093E+07  -0.601469E+00   0.989089E+06   0.989089E+06   0.271733E+00
   0.258831E-04   0.991276E+06   0.991276E+06   0.132153E+07   0.132152E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100093E+07  -0.601469E+00   0.989089E+06   0.989089E+06   0.277222E+00
   0.264059E-04   0.991276E+06   0.991276E+06   0.132152E+07   0.132151E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100093E+07  -0.601469E+00   0.989089E+06   0.989089E+06   0.282822E+00
   0.269394E-04   0.991276E+06   0.991276E+06   0.132151E+07   0.132151E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100093E+07  -0.601469E+00   0.989089E+06   0.989089E+06   0.288535E+00
   0.274836E-04   0.991276E+06   0.991276E+06   0.132150E+07   0.132150E+07   0.000000E+00   0.991276E+06   0.991276E+06   0.100093E+07  -0.601469E+00   0.989088E+06   0.989088E+06   0.294364E+00
   0.280388E-04   0.991275E+06   0.991275E+06   0.132150E+07   0.132149E+07   0.000000E+00   0.991275E+06   0.991275E+06   0.100093E+07  -0.601469E+00   0.989088E+06   0.989088E+06   0.300310E+00
   0.286052E-04   0.991275E+06   0.991275E+06   0.132149E+07   0.132148E+07   0.000000E+00   0.991275E+06   0.991275E+06   0.100093E+07  -0.601469E+00   0.989088E+06   0.989088E+06   0.306377E+00
   0.291831E-04   0.991275E+06   0.991275E+06   0.132148E+07   0.132147E+07   0.000000E+00   0.991275E+06   0.991275E+06   0.100093E+07  -0.601469E+00   0.989088E+06   0.989088E+06   0.312566E+00
   0.297726E-04   0.991275E+06   0.991275E+06   0.132147E+07   0.132146E+07   0.000000E+00   0.991275E+06   0.991275E+06   0.100093E+07  -0.601468E+00   0.989088E+06   0.989088E+06   0.318880E+00
   0.303741E-04   0.991275E+06   0.991275E+06   0.132146E+07   0.132145E+07   0.000000E+00   0.991275E+06   0.991275E+06   0.100093E+07  -0.601468E+00   0.989088E+06   0.989088E+06   0.325322E+00
   0.309877E-04   0.991275E+06   0.991274E+06   0.132145E+07   0.132144E+07   0.000000E+00   0.991274E+06   0.991274E+06   0.100093E+07  -0.601468E+00   0.989087E+06   0.989087E+06   0.331894E+00
   0.316137E-04   0.991274E+06   0.991274E+06   0.132144E+07   0.132143E+07   0.000000E+00   0.991274E+06   0.991274E+06   0.100093E+07  -0.601468E+00   0.989087E+06   0.989087E+06   0.338598E+00
   0.322523E-04   0.991274E+06   0.991274E+06   0.132143E+07   0.132142E+07   0.000000E+00   0.991274E+06   0.991274E+06   0.100093E+07  -0.601468E+00   0.989087E+06   0.989087E+06   0.345438E+00
   0.329038E-04   0.991274E+06   0.991274E+06   0.132142E+07   0.132141E+07   0.000000E+00   0.991274E+06   0.991274E+06   0.100093E+07  -0.601467E+00   0.989087E+06   0.989087E+06   0.352416E+00
   0.335685E-04   0.991274E+06   0.991274E+06   0.132141E+07   0.132140E+07   0.000000E+00   0.991274E+06   0.991274E+06   0.100093E+07  -0.601467E+00   0.989087E+06   0.989087E+06   0.359535E+00
   0.342467E-04   0.991274E+06   0.991273E+06   0.132139E+07   0.132138E+07   0.000000E+00   0.991273E+06   0.991273E+06   0.100093E+07  -0.601467E+00   0.989086E+06   0.989086E+06   0.366798E+00
   0.349385E-04   0.991273E+06   0.991273E+06   0.132138E+07   0.132137E+07   0.000000E+00   0.991273E+06   0.991273E+06   0.100093E+07  -0.601467E+00   0.989086E+06   0.989086E+06   0.374207E+00
   0.356443E-04   0.991273E+06   0.991273E+06   0.132137E+07   0.132136E+07   0.000000E+00   0.991273E+06   0.991273E+06   0.100093E+07  -0.601467E+00   0.989086E+06   0.989086E+06   0.381767E+00
   0.363643E-04   0.991273E+06   0.991273E+06   0.132135E+07   0.132134E+07   0.000000E+00   0.991273E+06   0.991273E+06   0.100093E+07  -0.601466E+00   0.989086E+06   0.989086E+06   0.389479E+00
   0.370990E-04   0.991272E+06   0.991272E+06   0.132134E+07   0.132133E+07   0.000000E+00   0.991272E+06   0.991272E+06   0.100093E+07  -0.601466E+00   0.989086E+06   0.989085E+06   0.397346E+00
   0.378484E-04   0.991272E+06   0.991272E+06   0.132132E+07   0.132131E+07   0.000000E+00   0.991272E+06   0.991272E+06   0.100093E+07  -0.601466E+00   0.989085E+06   0.989085E+06   0.405373E+00
   0.386130E-04   0.991272E+06   0.991272E+06   0.132131E+07   0.132130E+07   0.000000E+00   0.991272E+06   0.991272E+06   0.100093E+07  -0.601466E+00   0.989085E+06   0.989085E+06   0.413562E+00
   0.393930E-04   0.991272E+06   0.991271E+06   0.132129E+07   0.132128E+07   0.000000E+00   0.991272E+06   0.991272E+06   0.100093E+07  -0.601465E+00   0.989085E+06   0.989085E+06   0.421916E+00
